
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
188,,Spot,2,Image 1,131,1000000001,131,
206,,Spot,2,Image 1,132,1000000001,132,
202,,Spot,2,Image 1,133,1000000001,133,
200,,Spot,2,Image 1,134,1000000001,134,
206,,Spot,2,Image 1,135,1000000001,135,
206,,Spot,2,Image 1,136,1000000001,136,
202,,Spot,2,Image 1,137,1000000001,137,
204,,Spot,2,Image 1,138,1000000001,138,
204,,Spot,2,Image 1,139,1000000001,139,
198,,Spot,2,Image 1,140,1000000001,140,
208,,Spot,2,Image 1,141,1000000001,141,
192,,Spot,2,Image 1,142,1000000001,142,
186,,Spot,2,Image 1,143,1000000001,143,
190,,Spot,2,Image 1,144,1000000001,144,
198,,Spot,2,Image 1,145,1000000001,145,
200,,Spot,2,Image 1,146,1000000001,146,
198,,Spot,2,Image 1,147,1000000001,147,
198,,Spot,2,Image 1,148,1000000001,148,
178,,Spot,2,Image 1,149,1000000001,149,
196,,Spot,2,Image 1,150,1000000001,150,
196,,Spot,2,Image 1,151,1000000001,151,
200,,Spot,2,Image 1,152,1000000001,152,
190,,Spot,2,Image 1,153,1000000001,153,
202,,Spot,2,Image 1,154,1000000001,154,
188,,Spot,2,Image 1,155,1000000001,155,
198,,Spot,2,Image 1,156,1000000001,156,
184,,Spot,2,Image 1,157,1000000001,157,
198,,Spot,2,Image 1,158,1000000001,158,
190,,Spot,2,Image 1,159,1000000001,160,
186,,Spot,2,Image 1,160,1000000001,161,
206,,Spot,2,Image 1,161,1000000001,162,
188,,Spot,2,Image 1,162,1000000001,163,
196,,Spot,2,Image 1,163,1000000001,164,
202,,Spot,2,Image 1,164,1000000001,165,
210,,Spot,2,Image 1,165,1000000001,166,
206,,Spot,2,Image 1,166,1000000001,167,
198,,Spot,2,Image 1,167,1000000001,168,
192,,Spot,2,Image 1,168,1000000001,169,
206,,Spot,2,Image 1,169,1000000001,170,
196,,Spot,2,Image 1,170,1000000001,171,
198,,Spot,2,Image 1,171,1000000001,172,
196,,Spot,2,Image 1,172,1000000001,173,
192,,Spot,2,Image 1,173,1000000001,174,
184,,Spot,2,Image 1,174,1000000001,175,
196,,Spot,2,Image 1,175,1000000001,176,
204,,Spot,2,Image 1,176,1000000001,177,
198,,Spot,2,Image 1,177,1000000001,178,
200,,Spot,2,Image 1,178,1000000001,179,
196,,Spot,2,Image 1,179,1000000001,180,
194,,Spot,2,Image 1,180,1000000001,181,
198,,Spot,2,Image 1,181,1000000001,182,
200,,Spot,2,Image 1,182,1000000001,183,
202,,Spot,2,Image 1,183,1000000001,184,
198,,Spot,2,Image 1,184,1000000001,185,
194,,Spot,2,Image 1,185,1000000001,186,
192,,Spot,2,Image 1,186,1000000001,187,
188,,Spot,2,Image 1,187,1000000001,188,
200,,Spot,2,Image 1,188,1000000001,189,
204,,Spot,2,Image 1,189,1000000001,190,
204,,Spot,2,Image 1,190,1000000001,191,
198,,Spot,2,Image 1,191,1000000001,192,
200,,Spot,2,Image 1,192,1000000001,193,
198,,Spot,2,Image 1,193,1000000001,194,
198,,Spot,2,Image 1,194,1000000001,195,
198,,Spot,2,Image 1,195,1000000001,196,
202,,Spot,2,Image 1,196,1000000001,197,
200,,Spot,2,Image 1,197,1000000001,198,
198,,Spot,2,Image 1,198,1000000001,199,
206,,Spot,2,Image 1,199,1000000001,200,
178,,Spot,2,Image 1,200,1000000001,201,
196,,Spot,2,Image 1,201,1000000001,202,
200,,Spot,2,Image 1,202,1000000001,203,
194,,Spot,2,Image 1,203,1000000001,204,
200,,Spot,2,Image 1,204,1000000001,205,
204,,Spot,2,Image 1,205,1000000001,206,
178,,Spot,2,Image 1,206,1000000001,207,
208,,Spot,2,Image 1,207,1000000001,208,
196,,Spot,2,Image 1,208,1000000001,209,
194,,Spot,2,Image 1,209,1000000001,210,
200,,Spot,2,Image 1,210,1000000001,211,
202,,Spot,2,Image 1,211,1000000001,212,
208,,Spot,2,Image 1,212,1000000001,213,
208,,Spot,2,Image 1,213,1000000001,214,
200,,Spot,2,Image 1,214,1000000001,215,
192,,Spot,2,Image 1,215,1000000001,216,
208,,Spot,2,Image 1,216,1000000001,217,
204,,Spot,2,Image 1,217,1000000001,218,
204,,Spot,2,Image 1,218,1000000001,219,
206,,Spot,2,Image 1,219,1000000001,220,
204,,Spot,2,Image 1,220,1000000001,221,
210,,Spot,2,Image 1,221,1000000001,222,
192,,Spot,2,Image 1,222,1000000001,223,
208,,Spot,2,Image 1,223,1000000001,224,
184,,Spot,2,Image 1,224,1000000001,225,
208,,Spot,2,Image 1,225,1000000001,226,
198,,Spot,2,Image 1,226,1000000001,227,
204,,Spot,2,Image 1,227,1000000001,228,
202,,Spot,2,Image 1,228,1000000001,229,
200,,Spot,2,Image 1,229,1000000001,230,
194,,Spot,2,Image 1,230,1000000001,231,
200,,Spot,2,Image 1,231,1000000001,232,
208,,Spot,2,Image 1,232,1000000001,233,
206,,Spot,2,Image 1,233,1000000001,234,
192,,Spot,2,Image 1,234,1000000001,235,
204,,Spot,2,Image 1,235,1000000001,236,
206,,Spot,2,Image 1,236,1000000001,237,
210,,Spot,2,Image 1,237,1000000001,238,
204,,Spot,2,Image 1,238,1000000001,239,
196,,Spot,2,Image 1,239,1000000001,240,
208,,Spot,2,Image 1,240,1000000001,241,
194,,Spot,2,Image 1,241,1000000001,242,
194,,Spot,2,Image 1,242,1000000001,243,
206,,Spot,2,Image 1,243,1000000001,244,
204,,Spot,2,Image 1,244,1000000001,245,
196,,Spot,2,Image 1,245,1000000001,246,
202,,Spot,2,Image 1,246,1000000001,247,
202,,Spot,2,Image 1,247,1000000001,248,
208,,Spot,2,Image 1,248,1000000001,249,
208,,Spot,2,Image 1,249,1000000001,250,
198,,Spot,2,Image 1,250,1000000001,251,
200,,Spot,2,Image 1,251,1000000001,252,
200,,Spot,2,Image 1,252,1000000001,253,
202,,Spot,2,Image 1,253,1000000001,254,
206,,Spot,2,Image 1,254,1000000001,255,
202,,Spot,2,Image 1,255,1000000001,256,
202,,Spot,2,Image 1,256,1000000001,257,
206,,Spot,2,Image 1,257,1000000001,258,
192,,Spot,2,Image 1,258,1000000001,259,
196,,Spot,2,Image 1,259,1000000001,260,
194,,Spot,2,Image 1,260,1000000001,261,
196,,Spot,2,Image 1,261,1000000001,262,
202,,Spot,2,Image 1,262,1000000001,263,
202,,Spot,2,Image 1,263,1000000001,264,
204,,Spot,2,Image 1,264,1000000001,265,
200,,Spot,2,Image 1,265,1000000001,266,
202,,Spot,2,Image 1,266,1000000001,267,
208,,Spot,2,Image 1,267,1000000001,268,
202,,Spot,2,Image 1,268,1000000001,269,
204,,Spot,2,Image 1,269,1000000001,270,
204,,Spot,2,Image 1,270,1000000001,271,
206,,Spot,2,Image 1,271,1000000001,272,
204,,Spot,2,Image 1,272,1000000001,273,
200,,Spot,2,Image 1,273,1000000001,274,
200,,Spot,2,Image 1,274,1000000001,275,
202,,Spot,2,Image 1,275,1000000001,276,
204,,Spot,2,Image 1,276,1000000001,277,
196,,Spot,2,Image 1,277,1000000001,278,
194,,Spot,2,Image 1,278,1000000001,279,
208,,Spot,2,Image 1,279,1000000001,280,
202,,Spot,2,Image 1,280,1000000001,281,
202,,Spot,2,Image 1,281,1000000001,282,
208,,Spot,2,Image 1,282,1000000001,283,
212,,Spot,2,Image 1,283,1000000001,284,
210,,Spot,2,Image 1,284,1000000001,285,
198,,Spot,2,Image 1,285,1000000001,286,
192,,Spot,2,Image 1,286,1000000001,287,
184,,Spot,2,Image 1,287,1000000001,288,
204,,Spot,2,Image 1,288,1000000001,290,
202,,Spot,2,Image 1,289,1000000001,291,
200,,Spot,2,Image 1,290,1000000001,292,
204,,Spot,2,Image 1,291,1000000001,293,
208,,Spot,2,Image 1,292,1000000001,294,
180,,Spot,2,Image 1,293,1000000001,295,
196,,Spot,2,Image 1,294,1000000001,296,
206,,Spot,2,Image 1,295,1000000001,297,
202,,Spot,2,Image 1,296,1000000001,399,
202,,Spot,2,Image 1,297,1000000001,400,
198,,Spot,2,Image 1,298,1000000001,401,
202,,Spot,2,Image 1,299,1000000001,402,
204,,Spot,2,Image 1,300,1000000001,403,
202,,Spot,2,Image 1,301,1000000001,404,
202,,Spot,2,Image 1,302,1000000001,405,
198,,Spot,2,Image 1,303,1000000001,406,
208,,Spot,2,Image 1,304,1000000001,407,
208,,Spot,2,Image 1,305,1000000001,408,
206,,Spot,2,Image 1,306,1000000001,409,
204,,Spot,2,Image 1,307,1000000001,410,
190,,Spot,2,Image 1,308,1000000001,411,
206,,Spot,2,Image 1,309,1000000001,412,
194,,Spot,2,Image 1,310,1000000001,413,
198,,Spot,2,Image 1,311,1000000001,414,
200,,Spot,2,Image 1,312,1000000001,415,
200,,Spot,2,Image 1,313,1000000001,416,
192,,Spot,2,Image 1,314,1000000001,417,
180,,Spot,2,Image 1,315,1000000001,418,
204,,Spot,2,Image 1,316,1000000001,419,
198,,Spot,2,Image 1,317,1000000001,420,
196,,Spot,2,Image 1,318,1000000001,421,
200,,Spot,2,Image 1,319,1000000001,422,
194,,Spot,2,Image 1,320,1000000001,423,
194,,Spot,2,Image 1,321,1000000001,424,
196,,Spot,2,Image 1,322,1000000001,425,
200,,Spot,2,Image 1,323,1000000001,426,
194,,Spot,2,Image 1,324,1000000001,427,
204,,Spot,2,Image 1,325,1000000001,428,
184,,Spot,2,Image 1,326,1000000001,429,
190,,Spot,2,Image 1,327,1000000001,430,
198,,Spot,2,Image 1,328,1000000001,431,
198,,Spot,2,Image 1,329,1000000001,432,
196,,Spot,2,Image 1,330,1000000001,433,
190,,Spot,2,Image 1,331,1000000001,434,
198,,Spot,2,Image 1,332,1000000001,435,
196,,Spot,2,Image 1,333,1000000001,436,
188,,Spot,2,Image 1,334,1000000001,437,
198,,Spot,2,Image 1,335,1000000001,438,
184,,Spot,2,Image 1,336,1000000001,439,
198,,Spot,2,Image 1,337,1000000001,440,
188,,Spot,2,Image 1,338,1000000001,441,
170,,Spot,2,Image 1,339,1000000001,442,
178,,Spot,2,Image 1,340,1000000001,443,
190,,Spot,2,Image 1,341,1000000001,444,
200,,Spot,2,Image 1,342,1000000001,445,
198,,Spot,2,Image 1,343,1000000001,446,
194,,Spot,2,Image 1,344,1000000001,447,
202,,Spot,2,Image 1,345,1000000001,448,
192,,Spot,2,Image 1,346,1000000001,449,
196,,Spot,2,Image 1,347,1000000001,450,
182,,Spot,2,Image 1,348,1000000001,451,
190,,Spot,2,Image 1,349,1000000001,452,
200,,Spot,2,Image 1,350,1000000001,453,
170,,Spot,2,Image 1,351,1000000001,454,
180,,Spot,2,Image 1,352,1000000001,455,
200,,Spot,2,Image 1,353,1000000001,456,
200,,Spot,2,Image 1,354,1000000001,457,
190,,Spot,2,Image 1,355,1000000001,458,
198,,Spot,2,Image 1,356,1000000001,459,
188,,Spot,2,Image 1,357,1000000001,460,
200,,Spot,2,Image 1,358,1000000001,461,
192,,Spot,2,Image 1,359,1000000001,462,
186,,Spot,2,Image 1,360,1000000001,463,
194,,Spot,2,Image 1,361,1000000001,464,
196,,Spot,2,Image 1,362,1000000001,465,
198,,Spot,2,Image 1,363,1000000001,466,
192,,Spot,2,Image 1,364,1000000001,467,
200,,Spot,2,Image 1,365,1000000001,468,
200,,Spot,2,Image 1,366,1000000001,469,
176,,Spot,2,Image 1,367,1000000001,470,
196,,Spot,2,Image 1,368,1000000001,471,
198,,Spot,2,Image 1,369,1000000001,472,
198,,Spot,2,Image 1,370,1000000001,473,
196,,Spot,2,Image 1,371,1000000001,474,
192,,Spot,2,Image 1,372,1000000001,475,
194,,Spot,2,Image 1,373,1000000001,476,
190,,Spot,2,Image 1,374,1000000001,477,
178,,Spot,2,Image 1,375,1000000001,478,
204,,Spot,2,Image 1,376,1000000001,479,
196,,Spot,2,Image 1,377,1000000001,480,
190,,Spot,2,Image 1,378,1000000001,481,
196,,Spot,2,Image 1,379,1000000001,482,
192,,Spot,2,Image 1,380,1000000001,483,
202,,Spot,2,Image 1,381,1000000001,484,
194,,Spot,2,Image 1,382,1000000001,485,
192,,Spot,2,Image 1,383,1000000001,486,
182,,Spot,2,Image 1,384,1000000001,487,
192,,Spot,2,Image 1,385,1000000001,488,
190,,Spot,2,Image 1,386,1000000001,489,
200,,Spot,2,Image 1,387,1000000001,490,
192,,Spot,2,Image 1,388,1000000001,491,
186,,Spot,2,Image 1,389,1000000001,492,
184,,Spot,2,Image 1,390,1000000001,493,
182,,Spot,2,Image 1,391,1000000001,494,
