
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
31.1918,µm,Spot,Image 1,117,1000000001,117,
32.1907,µm,Spot,Image 1,118,1000000001,118,
32.6168,µm,Spot,Image 1,119,1000000001,119,
33.2862,µm,Spot,Image 1,120,1000000001,120,
33.3134,µm,Spot,Image 1,121,1000000001,121,
33.9916,µm,Spot,Image 1,122,1000000001,122,
34.645,µm,Spot,Image 1,123,1000000001,123,
33.6009,µm,Spot,Image 1,124,1000000001,124,
31.7346,µm,Spot,Image 1,125,1000000001,125,
31.7006,µm,Spot,Image 1,126,1000000001,126,
30.8167,µm,Spot,Image 1,127,1000000001,127,
31.6577,µm,Spot,Image 1,128,1000000001,128,
31.6102,µm,Spot,Image 1,129,1000000001,129,
31.9234,µm,Spot,Image 1,130,1000000001,130,
32.6605,µm,Spot,Image 1,131,1000000001,131,
32.1721,µm,Spot,Image 1,132,1000000001,132,
32.8664,µm,Spot,Image 1,133,1000000001,133,
33.9187,µm,Spot,Image 1,134,1000000001,134,
33.8553,µm,Spot,Image 1,135,1000000001,135,
34.3452,µm,Spot,Image 1,136,1000000001,136,
32.4384,µm,Spot,Image 1,137,1000000001,137,
33.2297,µm,Spot,Image 1,138,1000000001,138,
32.1364,µm,Spot,Image 1,139,1000000001,139,
31.0893,µm,Spot,Image 1,140,1000000001,140,
31.8773,µm,Spot,Image 1,141,1000000001,141,
31.0835,µm,Spot,Image 1,142,1000000001,142,
30.4657,µm,Spot,Image 1,143,1000000001,143,
29.689,µm,Spot,Image 1,144,1000000001,144,
29.1114,µm,Spot,Image 1,145,1000000001,145,
29.2029,µm,Spot,Image 1,146,1000000001,146,
29.2846,µm,Spot,Image 1,147,1000000001,147,
27.485,µm,Spot,Image 1,148,1000000001,148,
27.0863,µm,Spot,Image 1,149,1000000001,149,
25.9454,µm,Spot,Image 1,150,1000000001,150,
26.7734,µm,Spot,Image 1,151,1000000001,151,
26.9265,µm,Spot,Image 1,152,1000000001,152,
26.667,µm,Spot,Image 1,153,1000000001,153,
26.0257,µm,Spot,Image 1,154,1000000001,154,
24.5778,µm,Spot,Image 1,155,1000000001,155,
22.8312,µm,Spot,Image 1,156,1000000001,156,
20.874,µm,Spot,Image 1,157,1000000001,157,
20.6562,µm,Spot,Image 1,158,1000000001,158,
18.624,µm,Spot,Image 1,159,1000000001,160,
18.9924,µm,Spot,Image 1,160,1000000001,161,
18.038,µm,Spot,Image 1,161,1000000001,162,
17.8079,µm,Spot,Image 1,162,1000000001,163,
18.0634,µm,Spot,Image 1,163,1000000001,164,
19.1565,µm,Spot,Image 1,164,1000000001,165,
20.4765,µm,Spot,Image 1,165,1000000001,166,
22.5955,µm,Spot,Image 1,166,1000000001,167,
26.0411,µm,Spot,Image 1,167,1000000001,168,
28.3606,µm,Spot,Image 1,168,1000000001,169,
28.5229,µm,Spot,Image 1,169,1000000001,170,
28.4515,µm,Spot,Image 1,170,1000000001,171,
28.5835,µm,Spot,Image 1,171,1000000001,172,
27.9258,µm,Spot,Image 1,172,1000000001,173,
28.9898,µm,Spot,Image 1,173,1000000001,174,
31.0568,µm,Spot,Image 1,174,1000000001,175,
31.9559,µm,Spot,Image 1,175,1000000001,176,
32.8238,µm,Spot,Image 1,176,1000000001,177,
32.6641,µm,Spot,Image 1,177,1000000001,178,
