
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
0,,Spot,1,1000000001,1,
1.4864,,Spot,2,1000000001,2,
1.0376,,Spot,3,1000000001,3,
2.16105,,Spot,4,1000000001,4,
1.05255,,Spot,5,1000000001,5,
1.05622,,Spot,6,1000000001,6,
0.71303,,Spot,7,1000000001,7,
0.531224,,Spot,8,1000000001,8,
1.16016,,Spot,9,1000000001,9,
0.614307,,Spot,10,1000000001,10,
1.27932,,Spot,11,1000000001,11,
1.84887,,Spot,12,1000000001,12,
0.906249,,Spot,13,1000000001,13,
0.809786,,Spot,14,1000000001,14,
0.997054,,Spot,15,1000000001,15,
1.39143,,Spot,16,1000000001,16,
0.808344,,Spot,17,1000000001,17,
1.11103,,Spot,18,1000000001,18,
0.948834,,Spot,19,1000000001,19,
0.846791,,Spot,20,1000000001,20,
0.698352,,Spot,21,1000000001,21,
0.529814,,Spot,22,1000000001,22,
0.929479,,Spot,23,1000000001,23,
0.895569,,Spot,24,1000000001,24,
0.648608,,Spot,25,1000000001,25,
1.84041,,Spot,26,1000000001,26,
0.93623,,Spot,27,1000000001,27,
1.26449,,Spot,28,1000000001,28,
1.08509,,Spot,29,1000000001,29,
0.840992,,Spot,30,1000000001,30,
2.99777,,Spot,31,1000000001,31,
1.85329,,Spot,32,1000000001,32,
0.564451,,Spot,33,1000000001,33,
0.660123,,Spot,34,1000000001,34,
1.27811,,Spot,35,1000000001,35,
2.87817,,Spot,36,1000000001,36,
1.05844,,Spot,37,1000000001,37,
1.19383,,Spot,38,1000000001,38,
0.773414,,Spot,39,1000000001,39,
0.731231,,Spot,40,1000000001,40,
1.10159,,Spot,41,1000000001,41,
0.763484,,Spot,42,1000000001,42,
1.02535,,Spot,43,1000000001,43,
0.294399,,Spot,44,1000000001,44,
1.20108,,Spot,45,1000000001,45,
0.596846,,Spot,46,1000000001,46,
1.63125,,Spot,47,1000000001,47,
1.62892,,Spot,48,1000000001,48,
0.265242,,Spot,49,1000000001,49,
1.45519,,Spot,50,1000000001,50,
3.32565,,Spot,51,1000000001,51,
1.22758,,Spot,52,1000000001,52,
1.26846,,Spot,53,1000000001,53,
0.672028,,Spot,54,1000000001,54,
2.09285,,Spot,55,1000000001,55,
2.30082,,Spot,56,1000000001,56,
1.32282,,Spot,57,1000000001,57,
0.600861,,Spot,58,1000000001,58,
1.48626,,Spot,59,1000000001,59,
0.752036,,Spot,60,1000000001,60,
1.85242,,Spot,61,1000000001,61,
1.2765,,Spot,62,1000000001,62,
1.86851,,Spot,63,1000000001,63,
1.97934,,Spot,64,1000000001,64,
0.471193,,Spot,65,1000000001,65,
1.29839,,Spot,66,1000000001,66,
1.20574,,Spot,67,1000000001,67,
2.83959,,Spot,68,1000000001,68,
0.883954,,Spot,69,1000000001,69,
1.42187,,Spot,70,1000000001,70,
0.834082,,Spot,71,1000000001,71,
1.64341,,Spot,72,1000000001,72,
1.18929,,Spot,73,1000000001,73,
2.0405,,Spot,74,1000000001,74,
3.61603,,Spot,75,1000000001,75,
0.452662,,Spot,76,1000000001,76,
2.04579,,Spot,77,1000000001,77,
3.617,,Spot,78,1000000001,78,
3.26407,,Spot,79,1000000001,79,
1.76346,,Spot,80,1000000001,80,
0.998729,,Spot,81,1000000001,81,
1.96688,,Spot,82,1000000001,82,
1.36232,,Spot,83,1000000001,83,
1.22135,,Spot,84,1000000001,84,
1.49532,,Spot,85,1000000001,85,
1.51527,,Spot,86,1000000001,86,
0.694449,,Spot,87,1000000001,87,
0.818346,,Spot,88,1000000001,88,
2.38232,,Spot,89,1000000001,89,
1.64694,,Spot,90,1000000001,90,
0.567308,,Spot,91,1000000001,91,
0.309428,,Spot,92,1000000001,92,
1.47522,,Spot,93,1000000001,93,
0.621941,,Spot,94,1000000001,94,
1.317,,Spot,95,1000000001,95,
1.40468,,Spot,96,1000000001,96,
1.78687,,Spot,97,1000000001,97,
0.838881,,Spot,98,1000000001,98,
0.825461,,Spot,99,1000000001,99,
1.04482,,Spot,100,1000000001,100,
0.434831,,Spot,101,1000000001,101,
1.00644,,Spot,102,1000000001,102,
1.29271,,Spot,103,1000000001,103,
1.53292,,Spot,104,1000000001,104,
1.39509,,Spot,105,1000000001,105,
0.604523,,Spot,106,1000000001,106,
1.43287,,Spot,107,1000000001,107,
1.47173,,Spot,108,1000000001,108,
1.52791,,Spot,109,1000000001,109,
1.29933,,Spot,110,1000000001,110,
2.07972,,Spot,111,1000000001,111,
0.691417,,Spot,112,1000000001,112,
0.948479,,Spot,113,1000000001,113,
0.734569,,Spot,114,1000000001,114,
1.73422,,Spot,115,1000000001,115,
0.665816,,Spot,116,1000000001,116,
2.48259,,Spot,117,1000000001,117,
2.58296,,Spot,118,1000000001,118,
1.3471,,Spot,119,1000000001,119,
0.699516,,Spot,120,1000000001,120,
1.69415,,Spot,121,1000000001,121,
1.32483,,Spot,122,1000000001,122,
1.43189,,Spot,123,1000000001,123,
1.96004,,Spot,124,1000000001,124,
2.81441,,Spot,125,1000000001,125,
0.566666,,Spot,126,1000000001,126,
1.68411,,Spot,127,1000000001,127,
1.43498,,Spot,128,1000000001,128,
1.1339,,Spot,129,1000000001,129,
0.746574,,Spot,130,1000000001,130,
1.91088,,Spot,131,1000000001,131,
1.28943,,Spot,132,1000000001,132,
0.772062,,Spot,133,1000000001,133,
3.25587,,Spot,134,1000000001,134,
0.812974,,Spot,135,1000000001,135,
2.27487,,Spot,136,1000000001,136,
1.98931,,Spot,137,1000000001,137,
0.816929,,Spot,138,1000000001,138,
1.10711,,Spot,139,1000000001,139,
1.50464,,Spot,140,1000000001,140,
0.85801,,Spot,141,1000000001,141,
1.21537,,Spot,142,1000000001,142,
0.849682,,Spot,143,1000000001,143,
0.948438,,Spot,144,1000000001,144,
1.72052,,Spot,145,1000000001,145,
0.681999,,Spot,146,1000000001,146,
0.546177,,Spot,147,1000000001,147,
3.15065,,Spot,148,1000000001,148,
1.89862,,Spot,149,1000000001,149,
1.5751,,Spot,150,1000000001,150,
1.38162,,Spot,151,1000000001,151,
1.09085,,Spot,152,1000000001,152,
0.401593,,Spot,153,1000000001,153,
0.839538,,Spot,154,1000000001,154,
2.0146,,Spot,155,1000000001,155,
2.17021,,Spot,156,1000000001,156,
2.32879,,Spot,157,1000000001,157,
1.12872,,Spot,158,1000000001,158,
2.61345,,Spot,159,1000000001,160,
0.685633,,Spot,160,1000000001,161,
1.82752,,Spot,161,1000000001,162,
0.617797,,Spot,162,1000000001,163,
0.601881,,Spot,163,1000000001,164,
1.11873,,Spot,164,1000000001,165,
1.54749,,Spot,165,1000000001,166,
2.41249,,Spot,166,1000000001,167,
3.96014,,Spot,167,1000000001,168,
2.48811,,Spot,168,1000000001,169,
2.47354,,Spot,169,1000000001,170,
1.80904,,Spot,170,1000000001,171,
1.29193,,Spot,171,1000000001,172,
1.50297,,Spot,172,1000000001,173,
1.06488,,Spot,173,1000000001,174,
2.24882,,Spot,174,1000000001,175,
1.05506,,Spot,175,1000000001,176,
1.1989,,Spot,176,1000000001,177,
0.740258,,Spot,177,1000000001,178,
0.800838,,Spot,178,1000000001,179,
0.729962,,Spot,179,1000000001,180,
1.09929,,Spot,180,1000000001,181,
0.475631,,Spot,181,1000000001,182,
2.21148,,Spot,182,1000000001,183,
1.09427,,Spot,183,1000000001,184,
1.00231,,Spot,184,1000000001,185,
0.547112,,Spot,185,1000000001,186,
0.96738,,Spot,186,1000000001,187,
1.58247,,Spot,187,1000000001,188,
0.792767,,Spot,188,1000000001,189,
2.25519,,Spot,189,1000000001,190,
0.660313,,Spot,190,1000000001,191,
1.69017,,Spot,191,1000000001,192,
1.41399,,Spot,192,1000000001,193,
1.62121,,Spot,193,1000000001,194,
0.946329,,Spot,194,1000000001,195,
1.90283,,Spot,195,1000000001,196,
1.31376,,Spot,196,1000000001,197,
0.782085,,Spot,197,1000000001,198,
2.0773,,Spot,198,1000000001,199,
0.401429,,Spot,199,1000000001,200,
0.836683,,Spot,200,1000000001,201,
1.03344,,Spot,201,1000000001,202,
0.189049,,Spot,202,1000000001,203,
1.19579,,Spot,203,1000000001,204,
4.26764,,Spot,204,1000000001,205,
1.60377,,Spot,205,1000000001,206,
2.52152,,Spot,206,1000000001,207,
1.01827,,Spot,207,1000000001,208,
0.356101,,Spot,208,1000000001,209,
1.14058,,Spot,209,1000000001,210,
0.895413,,Spot,210,1000000001,211,
1.60251,,Spot,211,1000000001,212,
1.90888,,Spot,212,1000000001,213,
1.21657,,Spot,213,1000000001,214,
0.203889,,Spot,214,1000000001,215,
3.14616,,Spot,215,1000000001,216,
4.60521,,Spot,216,1000000001,217,
0.557543,,Spot,217,1000000001,218,
1.90931,,Spot,218,1000000001,219,
0.697829,,Spot,219,1000000001,220,
3.34585,,Spot,220,1000000001,221,
2.8738,,Spot,221,1000000001,222,
0.409271,,Spot,222,1000000001,223,
3.31978,,Spot,223,1000000001,224,
1.22887,,Spot,224,1000000001,225,
1.39595,,Spot,225,1000000001,226,
0.936383,,Spot,226,1000000001,227,
