
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
162,,Spot,2,Image 1,192,1000000193,228,
176,,Spot,2,Image 1,193,1000000193,229,
180,,Spot,2,Image 1,194,1000000193,230,
170,,Spot,2,Image 1,195,1000000193,231,
186,,Spot,2,Image 1,229,1000000232,232,
182,,Spot,2,Image 1,230,1000000232,233,
178,,Spot,2,Image 1,231,1000000232,234,
180,,Spot,2,Image 1,232,1000000232,235,
182,,Spot,2,Image 1,233,1000000232,236,
178,,Spot,2,Image 1,234,1000000232,237,
176,,Spot,2,Image 1,235,1000000232,238,
182,,Spot,2,Image 1,236,1000000232,239,
178,,Spot,2,Image 1,237,1000000232,240,
182,,Spot,2,Image 1,238,1000000232,241,
180,,Spot,2,Image 1,239,1000000232,242,
170,,Spot,2,Image 1,240,1000000232,243,
180,,Spot,2,Image 1,241,1000000232,244,
178,,Spot,2,Image 1,242,1000000232,245,
186,,Spot,2,Image 1,243,1000000232,246,
172,,Spot,2,Image 1,244,1000000232,247,
178,,Spot,2,Image 1,245,1000000232,248,
174,,Spot,2,Image 1,246,1000000232,249,
176,,Spot,2,Image 1,247,1000000232,250,
184,,Spot,2,Image 1,256,1000000251,251,
178,,Spot,2,Image 1,257,1000000251,252,
174,,Spot,2,Image 1,258,1000000251,253,
180,,Spot,2,Image 1,259,1000000251,254,
178,,Spot,2,Image 1,260,1000000251,255,
176,,Spot,2,Image 1,261,1000000251,256,
178,,Spot,2,Image 1,262,1000000251,257,
178,,Spot,2,Image 1,263,1000000251,258,
180,,Spot,2,Image 1,264,1000000251,259,
172,,Spot,2,Image 1,265,1000000251,260,
168,,Spot,2,Image 1,266,1000000251,261,
180,,Spot,2,Image 1,267,1000000251,262,
180,,Spot,2,Image 1,303,1000000263,263,
172,,Spot,2,Image 1,304,1000000263,264,
184,,Spot,2,Image 1,305,1000000263,265,
178,,Spot,2,Image 1,306,1000000263,266,
180,,Spot,2,Image 1,307,1000000263,267,
176,,Spot,2,Image 1,308,1000000263,268,
176,,Spot,2,Image 1,309,1000000263,269,
180,,Spot,2,Image 1,310,1000000263,270,
178,,Spot,2,Image 1,311,1000000263,271,
182,,Spot,2,Image 1,312,1000000263,272,
