
Intensity Max Ch=2 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,TrackID,ID,
302,,Spot,2,Image 1,192,1000000193,228,
298,,Spot,2,Image 1,193,1000000193,229,
302,,Spot,2,Image 1,194,1000000193,230,
318,,Spot,2,Image 1,195,1000000193,231,
284,,Spot,2,Image 1,229,1000000232,232,
274,,Spot,2,Image 1,230,1000000232,233,
254,,Spot,2,Image 1,231,1000000232,234,
260,,Spot,2,Image 1,232,1000000232,235,
274,,Spot,2,Image 1,233,1000000232,236,
260,,Spot,2,Image 1,234,1000000232,237,
262,,Spot,2,Image 1,235,1000000232,238,
278,,Spot,2,Image 1,236,1000000232,239,
276,,Spot,2,Image 1,237,1000000232,240,
276,,Spot,2,Image 1,238,1000000232,241,
266,,Spot,2,Image 1,239,1000000232,242,
272,,Spot,2,Image 1,240,1000000232,243,
272,,Spot,2,Image 1,241,1000000232,244,
294,,Spot,2,Image 1,242,1000000232,245,
278,,Spot,2,Image 1,243,1000000232,246,
280,,Spot,2,Image 1,244,1000000232,247,
284,,Spot,2,Image 1,245,1000000232,248,
292,,Spot,2,Image 1,246,1000000232,249,
308,,Spot,2,Image 1,247,1000000232,250,
264,,Spot,2,Image 1,256,1000000251,251,
278,,Spot,2,Image 1,257,1000000251,252,
264,,Spot,2,Image 1,258,1000000251,253,
262,,Spot,2,Image 1,259,1000000251,254,
268,,Spot,2,Image 1,260,1000000251,255,
268,,Spot,2,Image 1,261,1000000251,256,
270,,Spot,2,Image 1,262,1000000251,257,
272,,Spot,2,Image 1,263,1000000251,258,
278,,Spot,2,Image 1,264,1000000251,259,
282,,Spot,2,Image 1,265,1000000251,260,
278,,Spot,2,Image 1,266,1000000251,261,
276,,Spot,2,Image 1,267,1000000251,262,
262,,Spot,2,Image 1,303,1000000263,263,
298,,Spot,2,Image 1,304,1000000263,264,
274,,Spot,2,Image 1,305,1000000263,265,
262,,Spot,2,Image 1,306,1000000263,266,
266,,Spot,2,Image 1,307,1000000263,267,
276,,Spot,2,Image 1,308,1000000263,268,
266,,Spot,2,Image 1,309,1000000263,269,
260,,Spot,2,Image 1,310,1000000263,270,
276,,Spot,2,Image 1,311,1000000263,271,
260,,Spot,2,Image 1,312,1000000263,272,
