
Displacement Length
 ==================== 
Displacement Length,Unit,Category,Time,TrackID,ID,
0,,Spot,12,1000000051,51,
1.58869,,Spot,13,1000000051,53,
2.43251,,Spot,14,1000000051,55,
2.26816,,Spot,15,1000000051,57,
3.12534,,Spot,16,1000000051,59,
3.2852,,Spot,17,1000000051,61,
3.98211,,Spot,18,1000000051,63,
3.41932,,Spot,19,1000000051,64,
4.26308,,Spot,20,1000000051,65,
3.58326,,Spot,21,1000000051,66,
4.40069,,Spot,22,1000000051,67,
4.76113,,Spot,23,1000000051,68,
5.54302,,Spot,24,1000000051,69,
4.53953,,Spot,25,1000000051,70,
4.83344,,Spot,26,1000000051,71,
4.35774,,Spot,27,1000000051,72,
4.75227,,Spot,28,1000000051,73,
6.23516,,Spot,29,1000000051,74,
6.7136,,Spot,30,1000000051,75,
6.24973,,Spot,31,1000000051,76,
7.68721,,Spot,32,1000000051,77,
0,,Spot,74,1000000078,78,
1.04334,,Spot,75,1000000078,79,
0.991083,,Spot,76,1000000078,80,
0,,Spot,76,1000000115,115,
0.50978,,Spot,77,1000000078,116,
0.694259,,Spot,77,1000000115,117,
0.876136,,Spot,78,1000000078,118,
1.35044,,Spot,78,1000000115,119,
2.72302,,Spot,79,1000000078,120,
1.15118,,Spot,79,1000000115,121,
2.71854,,Spot,80,1000000078,122,
1.40348,,Spot,80,1000000115,123,
4.2387,,Spot,81,1000000078,124,
3.44423,,Spot,81,1000000115,125,
5.25881,,Spot,82,1000000078,126,
3.44273,,Spot,82,1000000115,127,
5.80767,,Spot,83,1000000078,128,
4.43985,,Spot,83,1000000115,129,
5.64836,,Spot,84,1000000078,130,
5.79573,,Spot,84,1000000115,131,
7.44413,,Spot,85,1000000078,132,
7.72257,,Spot,85,1000000115,133,
8.56753,,Spot,86,1000000115,141,
8.62328,,Spot,86,1000000078,142,
9.58272,,Spot,87,1000000115,143,
8.5822,,Spot,87,1000000078,144,
9.66103,,Spot,88,1000000115,145,
9.08982,,Spot,88,1000000078,146,
10.3447,,Spot,89,1000000115,147,
9.02624,,Spot,89,1000000078,148,
11.562,,Spot,90,1000000115,149,
9.71918,,Spot,90,1000000078,150,
12.1146,,Spot,91,1000000115,151,
9.58062,,Spot,91,1000000078,152,
11.6921,,Spot,92,1000000115,153,
10.5702,,Spot,92,1000000078,154,
12.8206,,Spot,93,1000000115,155,
10.9107,,Spot,93,1000000078,156,
12.6279,,Spot,94,1000000115,157,
12.6285,,Spot,95,1000000115,158,
13.4576,,Spot,96,1000000115,159,
12.8954,,Spot,97,1000000115,160,
13.288,,Spot,98,1000000115,161,
13.7219,,Spot,99,1000000115,162,
13.9225,,Spot,100,1000000115,163,
13.6888,,Spot,101,1000000115,164,
