
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,TrackID,ID,
228,,Spot,2,Image 1,192,1000000193,228,
230,,Spot,2,Image 1,193,1000000193,229,
214,,Spot,2,Image 1,194,1000000193,230,
218,,Spot,2,Image 1,195,1000000193,231,
222,,Spot,2,Image 1,229,1000000232,232,
206,,Spot,2,Image 1,230,1000000232,233,
216,,Spot,2,Image 1,231,1000000232,234,
216,,Spot,2,Image 1,232,1000000232,235,
200,,Spot,2,Image 1,233,1000000232,236,
214,,Spot,2,Image 1,234,1000000232,237,
212,,Spot,2,Image 1,235,1000000232,238,
218,,Spot,2,Image 1,236,1000000232,239,
228,,Spot,2,Image 1,237,1000000232,240,
228,,Spot,2,Image 1,238,1000000232,241,
218,,Spot,2,Image 1,239,1000000232,242,
216,,Spot,2,Image 1,240,1000000232,243,
220,,Spot,2,Image 1,241,1000000232,244,
220,,Spot,2,Image 1,242,1000000232,245,
218,,Spot,2,Image 1,243,1000000232,246,
218,,Spot,2,Image 1,244,1000000232,247,
224,,Spot,2,Image 1,245,1000000232,248,
210,,Spot,2,Image 1,246,1000000232,249,
226,,Spot,2,Image 1,247,1000000232,250,
202,,Spot,2,Image 1,256,1000000251,251,
216,,Spot,2,Image 1,257,1000000251,252,
224,,Spot,2,Image 1,258,1000000251,253,
210,,Spot,2,Image 1,259,1000000251,254,
236,,Spot,2,Image 1,260,1000000251,255,
206,,Spot,2,Image 1,261,1000000251,256,
226,,Spot,2,Image 1,262,1000000251,257,
206,,Spot,2,Image 1,263,1000000251,258,
242,,Spot,2,Image 1,264,1000000251,259,
208,,Spot,2,Image 1,265,1000000251,260,
222,,Spot,2,Image 1,266,1000000251,261,
204,,Spot,2,Image 1,267,1000000251,262,
212,,Spot,2,Image 1,303,1000000263,263,
216,,Spot,2,Image 1,304,1000000263,264,
206,,Spot,2,Image 1,305,1000000263,265,
208,,Spot,2,Image 1,306,1000000263,266,
220,,Spot,2,Image 1,307,1000000263,267,
222,,Spot,2,Image 1,308,1000000263,268,
222,,Spot,2,Image 1,309,1000000263,269,
222,,Spot,2,Image 1,310,1000000263,270,
222,,Spot,2,Image 1,311,1000000263,271,
210,,Spot,2,Image 1,312,1000000263,272,
