
Position X
 ==================== 
Position X,Unit,Category,Collection,Time,TrackID,ID,
44.7974,µm,Spot,Position,16,1000099590,99590,
44.3532,µm,Spot,Position,17,1000099590,99591,
44.4981,µm,Spot,Position,18,1000099590,99592,
44.6097,µm,Spot,Position,19,1000099590,99593,
13.9254,µm,Spot,Position,30,1000099594,99594,
13.9254,µm,Spot,Position,31,1000099594,99595,
14.0348,µm,Spot,Position,32,1000099594,99596,
14.3678,µm,Spot,Position,33,1000099594,99597,
19.1458,µm,Spot,Position,38,1000099598,99598,
19.845,µm,Spot,Position,39,1000099598,99599,
19.5992,µm,Spot,Position,40,1000099598,99600,
20.3845,µm,Spot,Position,41,1000099598,99601,
43.5723,µm,Spot,Position,75,1000099602,99602,
43.5723,µm,Spot,Position,76,1000099602,99603,
43.6881,µm,Spot,Position,77,1000099602,99604,
43.4566,µm,Spot,Position,78,1000099602,99605,
43.2252,µm,Spot,Position,79,1000099602,99606,
43.2252,µm,Spot,Position,80,1000099602,99607,
43.3409,µm,Spot,Position,81,1000099602,99608,
14.2983,µm,Spot,Position,157,1000099609,99609,
14.367,µm,Spot,Position,158,1000099609,99610,
13.4987,µm,Spot,Position,159,1000099609,99611,
14.8083,µm,Spot,Position,160,1000099609,99612,
13.8376,µm,Spot,Position,161,1000099609,99613,
13.8743,µm,Spot,Position,162,1000099609,99614,
35.7521,µm,Spot,Position,186,1000099615,99615,
35.633,µm,Spot,Position,187,1000099615,99616,
35.3134,µm,Spot,Position,188,1000099615,99617,
35.6056,µm,Spot,Position,189,1000099615,99618,
18.494,µm,Spot,Position,328,1000099619,99619,
18.7751,µm,Spot,Position,332,1000099619,99623,
55.9148,µm,Spot,Position,380,1000099629,99629,
55.9204,µm,Spot,Position,381,1000099629,99630,
55.5402,µm,Spot,Position,382,1000099629,99631,
55.1333,µm,Spot,Position,383,1000099629,99632,
55.565,µm,Spot,Position,384,1000099629,99633,
19.3848,µm,Spot,Position,329,1000099619,99634,
19.5005,µm,Spot,Position,330,1000099619,99635,
18.8061,µm,Spot,Position,331,1000099619,99636,
44.0353,µm,Spot,Position,368,1000099637,99637,
44.3825,µm,Spot,Position,369,1000099637,99638,
13.3547,µm,Spot,Position,247,1000099640,99640,
13.3534,µm,Spot,Position,248,1000099640,99641,
13.1399,µm,Spot,Position,249,1000099640,99642,
12.3836,µm,Spot,Position,250,1000099640,99643,
12.897,µm,Spot,Position,251,1000099640,99644,
38.7117,µm,Spot,Position,135,1000099652,99652,
38.3645,µm,Spot,Position,136,1000099652,99653,
38.2488,µm,Spot,Position,137,1000099652,99654,
36.86,µm,Spot,Position,138,1000099652,99655,
23.3609,µm,Spot,Position,4,1000099657,99657,
22.6537,µm,Spot,Position,5,1000099657,99658,
23.0156,µm,Spot,Position,6,1000099657,99659,
20.4604,µm,Spot,Position,301,1000099660,99660,
20.4787,µm,Spot,Position,302,1000099660,99661,
18.8857,µm,Spot,Position,303,1000099660,99662,
