
Velocity Angle Y
 ==================== 
Velocity Angle Y,Unit,Category,Collection,Time,TrackID,ID,
76.1196,°,Spot,Velocity Angle,16,1000099590,99590,
71.5676,°,Spot,Velocity Angle,17,1000099590,99591,
103.639,°,Spot,Velocity Angle,18,1000099590,99592,
94.0281,°,Spot,Velocity Angle,19,1000099590,99593,
90.0027,°,Spot,Velocity Angle,30,1000099594,99594,
98.1346,°,Spot,Velocity Angle,31,1000099594,99595,
110.205,°,Spot,Velocity Angle,32,1000099594,99596,
120.658,°,Spot,Velocity Angle,33,1000099594,99597,
90.0027,°,Spot,Velocity Angle,38,1000099598,99598,
90.0027,°,Spot,Velocity Angle,39,1000099598,99599,
146.261,°,Spot,Velocity Angle,40,1000099598,99600,
135.889,°,Spot,Velocity Angle,41,1000099598,99601,
58.1143,°,Spot,Velocity Angle,75,1000099602,99602,
149.022,°,Spot,Velocity Angle,76,1000099602,99603,
147.877,°,Spot,Velocity Angle,77,1000099602,99604,
93.3917,°,Spot,Velocity Angle,78,1000099602,99605,
117.67,°,Spot,Velocity Angle,79,1000099602,99606,
83.5643,°,Spot,Velocity Angle,80,1000099602,99607,
27.5907,°,Spot,Velocity Angle,81,1000099602,99608,
134.133,°,Spot,Velocity Angle,157,1000099609,99609,
45.1011,°,Spot,Velocity Angle,158,1000099609,99610,
17.8788,°,Spot,Velocity Angle,159,1000099609,99611,
126.389,°,Spot,Velocity Angle,160,1000099609,99612,
157.93,°,Spot,Velocity Angle,161,1000099609,99613,
177.079,°,Spot,Velocity Angle,162,1000099609,99614,
84.8613,°,Spot,Velocity Angle,186,1000099615,99615,
56.5696,°,Spot,Velocity Angle,187,1000099615,99616,
4.66368,°,Spot,Velocity Angle,188,1000099615,99617,
146.672,°,Spot,Velocity Angle,189,1000099615,99618,
75.5176,°,Spot,Velocity Angle,328,1000099619,99619,
98.9978,°,Spot,Velocity Angle,332,1000099619,99623,
160.327,°,Spot,Velocity Angle,380,1000099629,99629,
73.8731,°,Spot,Velocity Angle,381,1000099629,99630,
40.2566,°,Spot,Velocity Angle,382,1000099629,99631,
69.5032,°,Spot,Velocity Angle,383,1000099629,99632,
126.253,°,Spot,Velocity Angle,384,1000099629,99633,
59.6594,°,Spot,Velocity Angle,329,1000099619,99634,
72.131,°,Spot,Velocity Angle,330,1000099619,99635,
101.49,°,Spot,Velocity Angle,331,1000099619,99636,
99.7785,°,Spot,Velocity Angle,368,1000099637,99637,
99.7785,°,Spot,Velocity Angle,369,1000099637,99638,
56.1749,°,Spot,Velocity Angle,247,1000099640,99640,
25.7133,°,Spot,Velocity Angle,248,1000099640,99641,
81.5062,°,Spot,Velocity Angle,249,1000099640,99642,
101.323,°,Spot,Velocity Angle,250,1000099640,99643,
103.139,°,Spot,Velocity Angle,251,1000099640,99644,
82.9836,°,Spot,Velocity Angle,135,1000099652,99652,
82.6322,°,Spot,Velocity Angle,136,1000099652,99653,
64.004,°,Spot,Velocity Angle,137,1000099652,99654,
67.3958,°,Spot,Velocity Angle,138,1000099652,99655,
111.261,°,Spot,Velocity Angle,4,1000099657,99657,
90.0027,°,Spot,Velocity Angle,5,1000099657,99658,
59.3001,°,Spot,Velocity Angle,6,1000099657,99659,
74.8489,°,Spot,Velocity Angle,301,1000099660,99660,
75.1928,°,Spot,Velocity Angle,302,1000099660,99661,
75.2591,°,Spot,Velocity Angle,303,1000099660,99662,
