
Velocity Angle Z
 ==================== 
Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
136.533,°,Spot,Velocity Angle,16,1000099590,99590,
90.0027,°,Spot,Velocity Angle,17,1000099590,99591,
149.846,°,Spot,Velocity Angle,18,1000099590,99592,
172.473,°,Spot,Velocity Angle,19,1000099590,99593,
90.0027,°,Spot,Velocity Angle,30,1000099594,99594,
168.78,°,Spot,Velocity Angle,31,1000099594,99595,
154.238,°,Spot,Velocity Angle,32,1000099594,99596,
141.096,°,Spot,Velocity Angle,33,1000099594,99597,
115.594,°,Spot,Velocity Angle,38,1000099598,99598,
130.763,°,Spot,Velocity Angle,39,1000099598,99599,
92.4884,°,Spot,Velocity Angle,40,1000099598,99600,
89.3084,°,Spot,Velocity Angle,41,1000099598,99601,
148.117,°,Spot,Velocity Angle,75,1000099602,99602,
115.576,°,Spot,Velocity Angle,76,1000099602,99603,
59.3613,°,Spot,Velocity Angle,77,1000099602,99604,
31.9206,°,Spot,Velocity Angle,78,1000099602,99605,
93.7453,°,Spot,Velocity Angle,79,1000099602,99606,
166.333,°,Spot,Velocity Angle,80,1000099602,99607,
95.895,°,Spot,Velocity Angle,81,1000099602,99608,
135.265,°,Spot,Velocity Angle,157,1000099609,99609,
68.8611,°,Spot,Velocity Angle,158,1000099609,99610,
77.2565,°,Spot,Velocity Angle,159,1000099609,99611,
132.683,°,Spot,Velocity Angle,160,1000099609,99612,
92.1489,°,Spot,Velocity Angle,161,1000099609,99613,
92.4197,°,Spot,Velocity Angle,162,1000099609,99614,
6.85527,°,Spot,Velocity Angle,186,1000099615,99615,
35.3982,°,Spot,Velocity Angle,187,1000099615,99616,
90.0027,°,Spot,Velocity Angle,188,1000099615,99617,
118.324,°,Spot,Velocity Angle,189,1000099615,99618,
155.501,°,Spot,Velocity Angle,328,1000099619,99619,
9.06406,°,Spot,Velocity Angle,332,1000099619,99623,
70.3278,°,Spot,Velocity Angle,380,1000099629,99629,
109.756,°,Spot,Velocity Angle,381,1000099629,99630,
55.2862,°,Spot,Velocity Angle,382,1000099629,99631,
20.5302,°,Spot,Velocity Angle,383,1000099629,99632,
132.464,°,Spot,Velocity Angle,384,1000099629,99633,
142.523,°,Spot,Velocity Angle,329,1000099619,99634,
28.8104,°,Spot,Velocity Angle,330,1000099619,99635,
18.2346,°,Spot,Velocity Angle,331,1000099619,99636,
62.5788,°,Spot,Velocity Angle,368,1000099637,99637,
62.5788,°,Spot,Velocity Angle,369,1000099637,99638,
146.177,°,Spot,Velocity Angle,247,1000099640,99640,
90.0027,°,Spot,Velocity Angle,248,1000099640,99641,
33.8451,°,Spot,Velocity Angle,249,1000099640,99642,
50.2016,°,Spot,Velocity Angle,250,1000099640,99643,
144.766,°,Spot,Velocity Angle,251,1000099640,99644,
157.003,°,Spot,Velocity Angle,135,1000099652,99652,
158.709,°,Spot,Velocity Angle,136,1000099652,99653,
62.4769,°,Spot,Velocity Angle,137,1000099652,99654,
50.6918,°,Spot,Velocity Angle,138,1000099652,99655,
124.651,°,Spot,Velocity Angle,4,1000099657,99657,
103.855,°,Spot,Velocity Angle,5,1000099657,99658,
47.5166,°,Spot,Velocity Angle,6,1000099657,99659,
15.348,°,Spot,Velocity Angle,301,1000099660,99660,
20.1883,°,Spot,Velocity Angle,302,1000099660,99661,
20.91,°,Spot,Velocity Angle,303,1000099660,99662,
