
Velocity Angle Y
 ==================== 
Velocity Angle Y,Unit,Category,Collection,Time,TrackID,ID,
59.6287,°,Spot,Velocity Angle,28,1000124095,124095,
60.6385,°,Spot,Velocity Angle,29,1000124095,124096,
61.9741,°,Spot,Velocity Angle,30,1000124095,124097,
113.286,°,Spot,Velocity Angle,32,1000124098,124098,
92.8285,°,Spot,Velocity Angle,33,1000124098,124099,
58.3449,°,Spot,Velocity Angle,34,1000124098,124100,
33.3222,°,Spot,Velocity Angle,259,1000124101,124101,
29.4549,°,Spot,Velocity Angle,260,1000124101,124102,
42.2359,°,Spot,Velocity Angle,261,1000124101,124103,
82.802,°,Spot,Velocity Angle,312,1000124104,124104,
106.863,°,Spot,Velocity Angle,313,1000124104,124105,
109.614,°,Spot,Velocity Angle,314,1000124104,124106,
82.9163,°,Spot,Velocity Angle,315,1000124104,124107,
79.1321,°,Spot,Velocity Angle,316,1000124104,124108,
131.161,°,Spot,Velocity Angle,385,1000124109,124109,
146.107,°,Spot,Velocity Angle,386,1000124109,124110,
90.0027,°,Spot,Velocity Angle,387,1000124109,124111,
81.4198,°,Spot,Velocity Angle,370,1000124112,124112,
81.0848,°,Spot,Velocity Angle,371,1000124112,124113,
80.7899,°,Spot,Velocity Angle,372,1000124112,124114,
159.444,°,Spot,Velocity Angle,275,1000124115,124115,
131.381,°,Spot,Velocity Angle,276,1000124115,124116,
48.1129,°,Spot,Velocity Angle,277,1000124115,124117,
48.6243,°,Spot,Velocity Angle,278,1000124115,124118,
82.7959,°,Spot,Velocity Angle,279,1000124115,124119,
167.648,°,Spot,Velocity Angle,167,1000124120,124120,
167.648,°,Spot,Velocity Angle,168,1000124120,124121,
