
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,TrackID,ID,
15.3656,µm,Spot,Position,28,1000124095,124095,
16.9304,µm,Spot,Position,29,1000124095,124096,
18.2308,µm,Spot,Position,30,1000124095,124097,
9.75,µm,Spot,Position,32,1000124098,124098,
10.25,µm,Spot,Position,33,1000124098,124099,
9.75,µm,Spot,Position,34,1000124098,124100,
21.4438,µm,Spot,Position,259,1000124101,124101,
21.2852,µm,Spot,Position,260,1000124101,124102,
21.7509,µm,Spot,Position,261,1000124101,124103,
21.7169,µm,Spot,Position,312,1000124104,124104,
19.9737,µm,Spot,Position,313,1000124104,124105,
22.0066,µm,Spot,Position,314,1000124104,124106,
21.7683,µm,Spot,Position,315,1000124104,124107,
24.0225,µm,Spot,Position,316,1000124104,124108,
25.8801,µm,Spot,Position,385,1000124109,124109,
26.0615,µm,Spot,Position,386,1000124109,124110,
26.0531,µm,Spot,Position,387,1000124109,124111,
22.75,µm,Spot,Position,370,1000124112,124112,
22.25,µm,Spot,Position,371,1000124112,124113,
21.75,µm,Spot,Position,372,1000124112,124114,
24.25,µm,Spot,Position,275,1000124115,124115,
24.25,µm,Spot,Position,276,1000124115,124116,
24.75,µm,Spot,Position,277,1000124115,124117,
24.75,µm,Spot,Position,278,1000124115,124118,
24.25,µm,Spot,Position,279,1000124115,124119,
28.3367,µm,Spot,Position,167,1000124120,124120,
28.5889,µm,Spot,Position,168,1000124120,124121,
