
Diameter Z
 ==================== 
Diameter Z,Unit,Category,Collection,Time,TrackID,ID,
4,µm,Spot,Diameter,28,1000124095,124095,
4,µm,Spot,Diameter,29,1000124095,124096,
4,µm,Spot,Diameter,30,1000124095,124097,
4,µm,Spot,Diameter,32,1000124098,124098,
4,µm,Spot,Diameter,33,1000124098,124099,
4,µm,Spot,Diameter,34,1000124098,124100,
4,µm,Spot,Diameter,259,1000124101,124101,
4,µm,Spot,Diameter,260,1000124101,124102,
4,µm,Spot,Diameter,261,1000124101,124103,
4,µm,Spot,Diameter,312,1000124104,124104,
4,µm,Spot,Diameter,313,1000124104,124105,
4,µm,Spot,Diameter,314,1000124104,124106,
4,µm,Spot,Diameter,315,1000124104,124107,
4,µm,Spot,Diameter,316,1000124104,124108,
4,µm,Spot,Diameter,385,1000124109,124109,
4,µm,Spot,Diameter,386,1000124109,124110,
4,µm,Spot,Diameter,387,1000124109,124111,
4,µm,Spot,Diameter,370,1000124112,124112,
4,µm,Spot,Diameter,371,1000124112,124113,
4,µm,Spot,Diameter,372,1000124112,124114,
4,µm,Spot,Diameter,275,1000124115,124115,
4,µm,Spot,Diameter,276,1000124115,124116,
4,µm,Spot,Diameter,277,1000124115,124117,
4,µm,Spot,Diameter,278,1000124115,124118,
4,µm,Spot,Diameter,279,1000124115,124119,
4,µm,Spot,Diameter,167,1000124120,124120,
4,µm,Spot,Diameter,168,1000124120,124121,
