
Velocity Angle Z
 ==================== 
Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
30.9919,°,Spot,Velocity Angle,28,1000124095,124095,
29.563,°,Spot,Velocity Angle,29,1000124095,124096,
28.0287,°,Spot,Velocity Angle,30,1000124095,124097,
54.4191,°,Spot,Velocity Angle,32,1000124098,124098,
90.0027,°,Spot,Velocity Angle,33,1000124098,124099,
146.566,°,Spot,Velocity Angle,34,1000124098,124100,
106.691,°,Spot,Velocity Angle,259,1000124101,124101,
82.6052,°,Spot,Velocity Angle,260,1000124101,124102,
77.6778,°,Spot,Velocity Angle,261,1000124101,124103,
166.69,°,Spot,Velocity Angle,312,1000124104,124104,
64.5679,°,Spot,Velocity Angle,313,1000124104,124105,
19.6117,°,Spot,Velocity Angle,314,1000124104,124106,
30.5393,°,Spot,Velocity Angle,315,1000124104,124107,
33.1936,°,Spot,Velocity Angle,316,1000124104,124108,
69.8178,°,Spot,Velocity Angle,385,1000124109,124109,
65.4916,°,Spot,Velocity Angle,386,1000124109,124110,
92.4705,°,Spot,Velocity Angle,387,1000124109,124111,
152.376,°,Spot,Velocity Angle,370,1000124112,124112,
156.567,°,Spot,Velocity Angle,371,1000124112,124113,
160.864,°,Spot,Velocity Angle,372,1000124112,124114,
90.0027,°,Spot,Velocity Angle,275,1000124115,124115,
43.6736,°,Spot,Velocity Angle,276,1000124115,124116,
57.3101,°,Spot,Velocity Angle,277,1000124115,124117,
136.332,°,Spot,Velocity Angle,278,1000124115,124118,
155.56,°,Spot,Velocity Angle,279,1000124115,124119,
77.6456,°,Spot,Velocity Angle,167,1000124120,124120,
77.6456,°,Spot,Velocity Angle,168,1000124120,124121,
