
Displacement Delta Z
 ==================== 
Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0,µm,Spot,Displacement Delta,28,1000124095,124095,
1.5648,µm,Spot,Displacement Delta,29,1000124095,124096,
1.30035,µm,Spot,Displacement Delta,30,1000124095,124097,
0,µm,Spot,Displacement Delta,32,1000124098,124098,
0.5,µm,Spot,Displacement Delta,33,1000124098,124099,
-0.5,µm,Spot,Displacement Delta,34,1000124098,124100,
0,µm,Spot,Displacement Delta,259,1000124101,124101,
-0.158585,µm,Spot,Displacement Delta,260,1000124101,124102,
0.465637,µm,Spot,Displacement Delta,261,1000124101,124103,
0,µm,Spot,Displacement Delta,312,1000124104,124104,
-1.74319,µm,Spot,Displacement Delta,313,1000124104,124105,
2.03287,µm,Spot,Displacement Delta,314,1000124104,124106,
-0.238297,µm,Spot,Displacement Delta,315,1000124104,124107,
2.25421,µm,Spot,Displacement Delta,316,1000124104,124108,
0,µm,Spot,Displacement Delta,385,1000124109,124109,
0.181458,µm,Spot,Displacement Delta,386,1000124109,124110,
-0.00846863,µm,Spot,Displacement Delta,387,1000124109,124111,
0,µm,Spot,Displacement Delta,370,1000124112,124112,
-0.5,µm,Spot,Displacement Delta,371,1000124112,124113,
-0.5,µm,Spot,Displacement Delta,372,1000124112,124114,
0,µm,Spot,Displacement Delta,275,1000124115,124115,
0,µm,Spot,Displacement Delta,276,1000124115,124116,
0.5,µm,Spot,Displacement Delta,277,1000124115,124117,
0,µm,Spot,Displacement Delta,278,1000124115,124118,
-0.5,µm,Spot,Displacement Delta,279,1000124115,124119,
0,µm,Spot,Displacement Delta,167,1000124120,124120,
0.252235,µm,Spot,Displacement Delta,168,1000124120,124121,
