
Velocity Angle X
 ==================== 
Velocity Angle X,Unit,Category,Collection,Time,TrackID,ID,
95.586,°,Spot,Velocity Angle,28,1000124095,124095,
93.1277,°,Spot,Velocity Angle,29,1000124095,124096,
90.0793,°,Spot,Velocity Angle,30,1000124095,124097,
44.704,°,Spot,Velocity Angle,32,1000124098,124098,
2.82585,°,Spot,Velocity Angle,33,1000124098,124099,
99.669,°,Spot,Velocity Angle,34,1000124098,124100,
62.0775,°,Spot,Velocity Angle,259,1000124101,124101,
118.335,°,Spot,Velocity Angle,260,1000124101,124102,
129.6,°,Spot,Velocity Angle,261,1000124101,124103,
101.143,°,Spot,Velocity Angle,312,1000124104,124104,
148.791,°,Spot,Velocity Angle,313,1000124104,124105,
90.0027,°,Spot,Velocity Angle,314,1000124104,124106,
119.536,°,Spot,Velocity Angle,315,1000124104,124107,
120.931,°,Spot,Velocity Angle,316,1000124104,124108,
47.9969,°,Spot,Velocity Angle,385,1000124109,124109,
68.1174,°,Spot,Velocity Angle,386,1000124109,124110,
177.537,°,Spot,Velocity Angle,387,1000124109,124111,
116.048,°,Spot,Velocity Angle,370,1000124112,124112,
111.49,°,Spot,Velocity Angle,371,1000124112,124113,
106.63,°,Spot,Velocity Angle,372,1000124112,124114,
69.4412,°,Spot,Velocity Angle,275,1000124115,124115,
101.525,°,Spot,Velocity Angle,276,1000124115,124116,
120.822,°,Spot,Velocity Angle,277,1000124115,124117,
78.4804,°,Spot,Velocity Angle,278,1000124115,124118,
66.7772,°,Spot,Velocity Angle,279,1000124115,124119,
90.0027,°,Spot,Velocity Angle,167,1000124120,124120,
90.0027,°,Spot,Velocity Angle,168,1000124120,124121,
