
Track Speed StdDev
 ==================== 
Track Speed StdDev,Unit,Category,ID,
0,,Track,1000004380,
0,,Track,1000004387,
0.755658,,Track,1000004389,
0.188057,,Track,1000004431,
0.162348,,Track,1000004468,
0.26975,,Track,1000004479,
0.39602,,Track,1000004496,
0.454639,,Track,1000004791,
0.362027,,Track,1000004839,
0.341249,,Track,1000004850,
0.599413,,Track,1000004864,
0.280858,,Track,1000004873,
0.168561,,Track,1000004892,
0.141405,,Track,1000004952,
