
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
325.342,,Spot,1,Image 1,117,1000004496,4512,
333.853,,Spot,1,Image 1,118,1000004496,4513,
329.393,,Spot,1,Image 1,119,1000004496,4514,
335.918,,Spot,1,Image 1,120,1000004496,4515,
327.719,,Spot,1,Image 1,121,1000004496,4516,
322.676,,Spot,1,Image 1,122,1000004496,4517,
323.952,,Spot,1,Image 1,123,1000004496,4518,
323.545,,Spot,1,Image 1,124,1000004496,4519,
326.13,,Spot,1,Image 1,125,1000004496,4520,
323.701,,Spot,1,Image 1,126,1000004496,4521,
316.921,,Spot,1,Image 1,127,1000004496,4522,
326.54,,Spot,1,Image 1,128,1000004496,4523,
323.562,,Spot,1,Image 1,129,1000004496,4524,
319.522,,Spot,1,Image 1,130,1000004496,4525,
320.551,,Spot,1,Image 1,131,1000004496,4526,
315.985,,Spot,1,Image 1,132,1000004496,4527,
314.937,,Spot,1,Image 1,133,1000004496,4528,
313.556,,Spot,1,Image 1,134,1000004496,4529,
311.947,,Spot,1,Image 1,135,1000004496,4530,
315.276,,Spot,1,Image 1,136,1000004496,4531,
317.599,,Spot,1,Image 1,137,1000004496,4532,
316.617,,Spot,1,Image 1,138,1000004496,4533,
310.633,,Spot,1,Image 1,139,1000004496,4534,
313.333,,Spot,1,Image 1,140,1000004496,4535,
315.331,,Spot,1,Image 1,141,1000004496,4536,
318.221,,Spot,1,Image 1,142,1000004496,4537,
314.731,,Spot,1,Image 1,143,1000004496,4538,
314.411,,Spot,1,Image 1,144,1000004496,4539,
318.749,,Spot,1,Image 1,145,1000004496,4540,
321.397,,Spot,1,Image 1,146,1000004496,4541,
318.491,,Spot,1,Image 1,147,1000004496,4542,
314.531,,Spot,1,Image 1,148,1000004496,4543,
312.859,,Spot,1,Image 1,149,1000004496,4544,
311.061,,Spot,1,Image 1,150,1000004496,4545,
308.765,,Spot,1,Image 1,151,1000004496,4546,
313.551,,Spot,1,Image 1,152,1000004496,4547,
305.324,,Spot,1,Image 1,153,1000004496,4548,
304.18,,Spot,1,Image 1,154,1000004496,4549,
304.394,,Spot,1,Image 1,155,1000004496,4550,
295.105,,Spot,1,Image 1,156,1000004496,4551,
294.269,,Spot,1,Image 1,157,1000004496,4552,
292.525,,Spot,1,Image 1,158,1000004496,4553,
296.943,,Spot,1,Image 1,159,1000004496,4554,
288.922,,Spot,1,Image 1,160,1000004496,4555,
280.755,,Spot,1,Image 1,161,1000004496,4556,
286.73,,Spot,1,Image 1,162,1000004496,4557,
277.489,,Spot,1,Image 1,163,1000004496,4558,
273.464,,Spot,1,Image 1,164,1000004496,4559,
268.191,,Spot,1,Image 1,165,1000004496,4560,
249.804,,Spot,1,Image 1,166,1000004496,4561,
247.776,,Spot,1,Image 1,167,1000004496,4562,
250.914,,Spot,1,Image 1,168,1000004496,4563,
257.93,,Spot,1,Image 1,169,1000004496,4564,
257.78,,Spot,1,Image 1,170,1000004496,4565,
261.212,,Spot,1,Image 1,171,1000004496,4566,
245.927,,Spot,1,Image 1,172,1000004496,4567,
250.526,,Spot,1,Image 1,173,1000004496,4568,
269.888,,Spot,1,Image 1,174,1000004496,4569,
260.143,,Spot,1,Image 1,175,1000004496,4570,
253.922,,Spot,1,Image 1,176,1000004496,4571,
229.696,,Spot,1,Image 1,177,1000004496,4572,
221.426,,Spot,1,Image 1,178,1000004496,4573,
227.012,,Spot,1,Image 1,179,1000004496,4574,
230.599,,Spot,1,Image 1,180,1000004496,4575,
228.272,,Spot,1,Image 1,181,1000004496,4576,
204.5,,Spot,1,Image 1,182,1000004496,4577,
221.698,,Spot,1,Image 1,183,1000004496,4578,
225.173,,Spot,1,Image 1,184,1000004496,4579,
221.363,,Spot,1,Image 1,185,1000004496,4580,
229.592,,Spot,1,Image 1,186,1000004496,4581,
214.837,,Spot,1,Image 1,187,1000004496,4582,
220.221,,Spot,1,Image 1,188,1000004496,4583,
229.833,,Spot,1,Image 1,189,1000004496,4584,
226.611,,Spot,1,Image 1,190,1000004496,4585,
231.529,,Spot,1,Image 1,191,1000004496,4586,
253.116,,Spot,1,Image 1,192,1000004496,4587,
260.15,,Spot,1,Image 1,193,1000004496,4588,
252.627,,Spot,1,Image 1,194,1000004496,4589,
248.966,,Spot,1,Image 1,195,1000004496,4590,
257.352,,Spot,1,Image 1,196,1000004496,4591,
280.111,,Spot,1,Image 1,197,,4790,
262.557,,Spot,1,Image 1,198,1000004791,4791,
273.565,,Spot,1,Image 1,199,1000004791,4792,
265.281,,Spot,1,Image 1,200,1000004791,4793,
260.052,,Spot,1,Image 1,201,1000004791,4794,
260.207,,Spot,1,Image 1,202,1000004791,4795,
261.567,,Spot,1,Image 1,203,1000004791,4796,
252.954,,Spot,1,Image 1,204,1000004791,4797,
272.243,,Spot,1,Image 1,205,1000004791,4798,
270.627,,Spot,1,Image 1,206,1000004791,4799,
259.737,,Spot,1,Image 1,207,1000004791,4800,
283.801,,Spot,1,Image 1,208,1000004791,4801,
287.314,,Spot,1,Image 1,209,1000004791,4802,
284.396,,Spot,1,Image 1,210,1000004791,4803,
280.903,,Spot,1,Image 1,211,1000004791,4804,
283.16,,Spot,1,Image 1,212,1000004791,4805,
282.653,,Spot,1,Image 1,213,1000004791,4806,
280.266,,Spot,1,Image 1,214,1000004791,4807,
290.078,,Spot,1,Image 1,215,1000004791,4808,
288.494,,Spot,1,Image 1,216,1000004791,4809,
288.201,,Spot,1,Image 1,217,1000004791,4810,
284.425,,Spot,1,Image 1,218,1000004791,4811,
285.073,,Spot,1,Image 1,219,1000004791,4812,
283.7,,Spot,1,Image 1,220,1000004791,4813,
281.66,,Spot,1,Image 1,221,1000004791,4814,
272.747,,Spot,1,Image 1,222,1000004791,4815,
272.789,,Spot,1,Image 1,223,1000004791,4816,
274.35,,Spot,1,Image 1,224,1000004791,4817,
274.209,,Spot,1,Image 1,225,1000004791,4818,
271.064,,Spot,1,Image 1,226,1000004791,4819,
270.877,,Spot,1,Image 1,227,1000004791,4820,
267.843,,Spot,1,Image 1,228,1000004791,4821,
267.902,,Spot,1,Image 1,229,1000004791,4822,
274.456,,Spot,1,Image 1,230,1000004791,4823,
277.877,,Spot,1,Image 1,231,1000004791,4824,
273.18,,Spot,1,Image 1,232,1000004791,4825,
279.547,,Spot,1,Image 1,233,1000004791,4826,
284.716,,Spot,1,Image 1,234,1000004791,4827,
286.6,,Spot,1,Image 1,235,1000004791,4828,
291.588,,Spot,1,Image 1,236,1000004791,4829,
