
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,TrackID,ID,
690,,Spot,1,Image 1,126,1000004496,4521,
702,,Spot,1,Image 1,127,1000004496,4522,
766,,Spot,1,Image 1,128,1000004496,4523,
742,,Spot,1,Image 1,129,1000004496,4524,
758,,Spot,1,Image 1,130,1000004496,4525,
754,,Spot,1,Image 1,131,1000004496,4526,
728,,Spot,1,Image 1,132,1000004496,4527,
714,,Spot,1,Image 1,133,1000004496,4528,
710,,Spot,1,Image 1,134,1000004496,4529,
682,,Spot,1,Image 1,135,1000004496,4530,
712,,Spot,1,Image 1,136,1000004496,4531,
628,,Spot,1,Image 1,137,1000004496,4532,
684,,Spot,1,Image 1,138,1000004496,4533,
698,,Spot,1,Image 1,139,1000004496,4534,
676,,Spot,1,Image 1,140,1000004496,4535,
632,,Spot,1,Image 1,141,1000004496,4536,
584,,Spot,1,Image 1,142,1000004496,4537,
582,,Spot,1,Image 1,143,1000004496,4538,
684,,Spot,1,Image 1,144,1000004496,4539,
618,,Spot,1,Image 1,145,1000004496,4540,
640,,Spot,1,Image 1,146,1000004496,4541,
608,,Spot,1,Image 1,147,1000004496,4542,
582,,Spot,1,Image 1,148,1000004496,4543,
646,,Spot,1,Image 1,149,1000004496,4544,
654,,Spot,1,Image 1,150,1000004496,4545,
688,,Spot,1,Image 1,151,1000004496,4546,
690,,Spot,1,Image 1,152,1000004496,4547,
646,,Spot,1,Image 1,153,1000004496,4548,
628,,Spot,1,Image 1,154,1000004496,4549,
644,,Spot,1,Image 1,155,1000004496,4550,
600,,Spot,1,Image 1,156,1000004496,4551,
670,,Spot,1,Image 1,157,1000004496,4552,
566,,Spot,1,Image 1,158,1000004496,4553,
554,,Spot,1,Image 1,159,1000004496,4554,
578,,Spot,1,Image 1,160,1000004496,4555,
658,,Spot,1,Image 1,161,1000004496,4556,
644,,Spot,1,Image 1,162,1000004496,4557,
586,,Spot,1,Image 1,163,1000004496,4558,
606,,Spot,1,Image 1,164,1000004496,4559,
546,,Spot,1,Image 1,165,1000004496,4560,
536,,Spot,1,Image 1,166,1000004496,4561,
650,,Spot,1,Image 1,167,1000004496,4562,
670,,Spot,1,Image 1,168,1000004496,4563,
682,,Spot,1,Image 1,169,1000004496,4564,
632,,Spot,1,Image 1,170,1000004496,4565,
720,,Spot,1,Image 1,171,1000004496,4566,
662,,Spot,1,Image 1,172,1000004496,4567,
726,,Spot,1,Image 1,173,1000004496,4568,
