
Time Index
 ==================== 
Time Index,Unit,Category,Time,TrackID,ID,
1,,Spot,1,1000004380,4380,
2,,Spot,2,1000004380,4382,
3,,Spot,3,,4386,
4,,Spot,4,1000004387,4387,
5,,Spot,5,1000004387,4388,
6,,Spot,6,1000004389,4389,
7,,Spot,7,1000004389,4390,
8,,Spot,8,1000004389,4391,
9,,Spot,9,1000004389,4392,
10,,Spot,10,1000004389,4393,
11,,Spot,11,1000004389,4394,
12,,Spot,12,1000004389,4395,
13,,Spot,13,1000004389,4396,
14,,Spot,14,1000004389,4397,
15,,Spot,15,1000004389,4398,
16,,Spot,16,1000004389,4399,
17,,Spot,17,1000004389,4400,
18,,Spot,18,1000004389,4401,
19,,Spot,19,1000004389,4402,
20,,Spot,20,1000004389,4403,
21,,Spot,21,1000004389,4404,
22,,Spot,22,1000004389,4405,
23,,Spot,23,1000004389,4406,
24,,Spot,24,1000004389,4407,
25,,Spot,25,1000004389,4408,
26,,Spot,26,1000004389,4409,
27,,Spot,27,1000004389,4410,
28,,Spot,28,1000004389,4411,
29,,Spot,29,1000004389,4412,
30,,Spot,30,1000004389,4413,
31,,Spot,31,1000004389,4414,
32,,Spot,32,1000004389,4415,
33,,Spot,33,1000004389,4416,
34,,Spot,34,1000004389,4417,
35,,Spot,35,1000004389,4418,
36,,Spot,36,1000004389,4419,
37,,Spot,37,1000004431,4431,
38,,Spot,38,1000004431,4432,
39,,Spot,39,1000004431,4433,
40,,Spot,40,1000004431,4434,
41,,Spot,41,1000004431,4435,
42,,Spot,42,1000004431,4436,
43,,Spot,43,1000004431,4437,
44,,Spot,44,1000004431,4438,
45,,Spot,45,1000004431,4439,
46,,Spot,46,1000004431,4440,
47,,Spot,47,1000004431,4441,
48,,Spot,48,1000004431,4442,
49,,Spot,49,1000004431,4443,
50,,Spot,50,1000004431,4444,
51,,Spot,51,1000004431,4445,
52,,Spot,52,1000004431,4446,
53,,Spot,53,1000004431,4447,
54,,Spot,54,1000004431,4448,
55,,Spot,55,1000004431,4449,
56,,Spot,56,1000004431,4450,
57,,Spot,57,1000004431,4451,
58,,Spot,58,1000004431,4452,
59,,Spot,59,1000004431,4453,
60,,Spot,60,1000004431,4454,
61,,Spot,61,1000004431,4455,
62,,Spot,62,1000004431,4456,
63,,Spot,63,1000004431,4457,
64,,Spot,64,1000004431,4458,
65,,Spot,65,1000004431,4459,
66,,Spot,66,1000004431,4460,
67,,Spot,67,1000004431,4461,
68,,Spot,68,1000004431,4462,
69,,Spot,69,1000004431,4463,
70,,Spot,70,1000004431,4464,
71,,Spot,71,1000004431,4465,
72,,Spot,72,1000004431,4466,
73,,Spot,73,1000004431,4467,
74,,Spot,74,1000004468,4468,
75,,Spot,75,1000004468,4469,
76,,Spot,76,1000004468,4470,
77,,Spot,77,1000004468,4471,
78,,Spot,78,1000004468,4472,
79,,Spot,79,1000004468,4473,
80,,Spot,80,1000004468,4474,
81,,Spot,81,1000004468,4475,
82,,Spot,82,1000004468,4476,
83,,Spot,83,1000004468,4477,
84,,Spot,84,1000004479,4479,
85,,Spot,85,1000004479,4480,
86,,Spot,86,1000004479,4481,
87,,Spot,87,1000004479,4482,
88,,Spot,88,1000004479,4483,
89,,Spot,89,1000004479,4484,
90,,Spot,90,1000004479,4485,
91,,Spot,91,1000004479,4486,
92,,Spot,92,1000004479,4487,
93,,Spot,93,1000004479,4488,
94,,Spot,94,1000004479,4489,
95,,Spot,95,1000004479,4490,
96,,Spot,96,1000004479,4491,
97,,Spot,97,1000004479,4492,
98,,Spot,98,1000004479,4493,
99,,Spot,99,1000004479,4494,
100,,Spot,100,1000004479,4495,
101,,Spot,101,1000004496,4496,
102,,Spot,102,1000004496,4497,
103,,Spot,103,1000004496,4498,
104,,Spot,104,1000004496,4499,
105,,Spot,105,1000004496,4500,
106,,Spot,106,1000004496,4501,
107,,Spot,107,1000004496,4502,
108,,Spot,108,1000004496,4503,
109,,Spot,109,1000004496,4504,
110,,Spot,110,1000004496,4505,
111,,Spot,111,1000004496,4506,
112,,Spot,112,1000004496,4507,
113,,Spot,113,1000004496,4508,
114,,Spot,114,1000004496,4509,
115,,Spot,115,1000004496,4510,
116,,Spot,116,1000004496,4511,
117,,Spot,117,1000004496,4512,
118,,Spot,118,1000004496,4513,
119,,Spot,119,1000004496,4514,
120,,Spot,120,1000004496,4515,
121,,Spot,121,1000004496,4516,
122,,Spot,122,1000004496,4517,
123,,Spot,123,1000004496,4518,
124,,Spot,124,1000004496,4519,
125,,Spot,125,1000004496,4520,
126,,Spot,126,1000004496,4521,
127,,Spot,127,1000004496,4522,
128,,Spot,128,1000004496,4523,
129,,Spot,129,1000004496,4524,
130,,Spot,130,1000004496,4525,
131,,Spot,131,1000004496,4526,
132,,Spot,132,1000004496,4527,
133,,Spot,133,1000004496,4528,
134,,Spot,134,1000004496,4529,
135,,Spot,135,1000004496,4530,
136,,Spot,136,1000004496,4531,
137,,Spot,137,1000004496,4532,
138,,Spot,138,1000004496,4533,
139,,Spot,139,1000004496,4534,
140,,Spot,140,1000004496,4535,
141,,Spot,141,1000004496,4536,
142,,Spot,142,1000004496,4537,
143,,Spot,143,1000004496,4538,
144,,Spot,144,1000004496,4539,
145,,Spot,145,1000004496,4540,
146,,Spot,146,1000004496,4541,
147,,Spot,147,1000004496,4542,
148,,Spot,148,1000004496,4543,
149,,Spot,149,1000004496,4544,
150,,Spot,150,1000004496,4545,
151,,Spot,151,1000004496,4546,
152,,Spot,152,1000004496,4547,
153,,Spot,153,1000004496,4548,
154,,Spot,154,1000004496,4549,
155,,Spot,155,1000004496,4550,
156,,Spot,156,1000004496,4551,
157,,Spot,157,1000004496,4552,
158,,Spot,158,1000004496,4553,
159,,Spot,159,1000004496,4554,
160,,Spot,160,1000004496,4555,
161,,Spot,161,1000004496,4556,
162,,Spot,162,1000004496,4557,
163,,Spot,163,1000004496,4558,
164,,Spot,164,1000004496,4559,
165,,Spot,165,1000004496,4560,
166,,Spot,166,1000004496,4561,
167,,Spot,167,1000004496,4562,
168,,Spot,168,1000004496,4563,
169,,Spot,169,1000004496,4564,
170,,Spot,170,1000004496,4565,
171,,Spot,171,1000004496,4566,
172,,Spot,172,1000004496,4567,
173,,Spot,173,1000004496,4568,
174,,Spot,174,1000004496,4569,
175,,Spot,175,1000004496,4570,
176,,Spot,176,1000004496,4571,
177,,Spot,177,1000004496,4572,
178,,Spot,178,1000004496,4573,
179,,Spot,179,1000004496,4574,
180,,Spot,180,1000004496,4575,
181,,Spot,181,1000004496,4576,
182,,Spot,182,1000004496,4577,
183,,Spot,183,1000004496,4578,
184,,Spot,184,1000004496,4579,
185,,Spot,185,1000004496,4580,
186,,Spot,186,1000004496,4581,
187,,Spot,187,1000004496,4582,
188,,Spot,188,1000004496,4583,
189,,Spot,189,1000004496,4584,
190,,Spot,190,1000004496,4585,
191,,Spot,191,1000004496,4586,
192,,Spot,192,1000004496,4587,
193,,Spot,193,1000004496,4588,
194,,Spot,194,1000004496,4589,
195,,Spot,195,1000004496,4590,
196,,Spot,196,1000004496,4591,
197,,Spot,197,,4790,
198,,Spot,198,1000004791,4791,
