
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0.151569,0.0299778,0.0977077,µm,Spot,Displacement Delta,74,1000003912,3985,
0.137068,0.342283,-0.390959,µm,Spot,Displacement Delta,75,1000003912,3986,
0.0175362,-0.598013,0.399336,µm,Spot,Displacement Delta,76,1000003912,3987,
0.192871,1.15569,0.106586,µm,Spot,Displacement Delta,77,1000003912,3988,
0.0434647,1.04196,-0.217909,µm,Spot,Displacement Delta,78,1000003912,3989,
0.372274,0.71937,-0.014061,µm,Spot,Displacement Delta,79,1000003912,3990,
0.167843,0.684664,0.0725174,µm,Spot,Displacement Delta,80,1000003912,3991,
-0.0653133,0.0374374,0.152695,µm,Spot,Displacement Delta,81,1000003912,3992,
-0.0442371,0.20344,-0.0124874,µm,Spot,Displacement Delta,82,1000003912,3993,
-0.251562,-0.836037,0.0360508,µm,Spot,Displacement Delta,83,1000003912,3994,
0.276314,0.430094,0.181301,µm,Spot,Displacement Delta,84,1000003912,3995,
0.0668774,0.734097,-0.145229,µm,Spot,Displacement Delta,85,1000003912,3996,
-0.296259,-0.830011,-0.121216,µm,Spot,Displacement Delta,86,1000003912,3997,
0.624445,1.5002,0.175966,µm,Spot,Displacement Delta,87,1000003912,3998,
0.0211182,-0.472973,0.112099,µm,Spot,Displacement Delta,88,1000003912,3999,
0.00919342,-0.347778,0.381237,µm,Spot,Displacement Delta,89,1000003912,4000,
0.243633,0.314188,0.0370369,µm,Spot,Displacement Delta,90,1000003912,4001,
0.0903301,0.203506,-0.135107,µm,Spot,Displacement Delta,91,1000003912,4002,
-0.309902,-0.980799,-0.0296078,µm,Spot,Displacement Delta,92,1000003912,4003,
0.138865,0.153862,0.0209961,µm,Spot,Displacement Delta,93,1000003912,4004,
0.133827,0.696909,0.4949,µm,Spot,Displacement Delta,94,1000003912,4005,
-0.0877476,-0.592739,-0.036478,µm,Spot,Displacement Delta,95,1000003912,4006,
0.232307,0.484032,-0.0389614,µm,Spot,Displacement Delta,96,1000003912,4007,
0.782389,1.82861,0.0406094,µm,Spot,Displacement Delta,97,1000003912,4008,
-0.518547,-1.24598,-0.0755939,µm,Spot,Displacement Delta,98,1000003912,4009,
-0.0939198,-0.740353,-0.0732651,µm,Spot,Displacement Delta,99,1000003912,4010,
-0.0888538,0.169273,0.0873528,µm,Spot,Displacement Delta,100,1000003912,4011,
-0.302099,-0.978546,-0.0112133,µm,Spot,Displacement Delta,101,1000003912,4012,
-0.0715866,-0.525591,-0.0118198,µm,Spot,Displacement Delta,102,1000003912,4013,
0.130091,0.710533,-0.0168953,µm,Spot,Displacement Delta,103,1000003912,4014,
0.0280952,0.203688,0.0887394,µm,Spot,Displacement Delta,104,1000003912,4015,
-0.326571,-1.28513,-0.3409,µm,Spot,Displacement Delta,105,1000003912,4016,
0.0275612,0.508173,0.0327892,µm,Spot,Displacement Delta,106,1000003912,4017,
-0.205137,-0.816957,0.349745,µm,Spot,Displacement Delta,107,1000003912,4018,
0.147493,0.246841,-0.388281,µm,Spot,Displacement Delta,108,1000003912,4019,
-0.194468,-0.0973625,-0.1357,µm,Spot,Displacement Delta,109,1000003912,4020,
-0.313229,-1.52762,0.0867615,µm,Spot,Displacement Delta,110,1000003912,4021,
-0.0710411,-1.13792,0.123213,µm,Spot,Displacement Delta,111,1000003912,4022,
-0.00269127,-0.503485,-0.0366879,µm,Spot,Displacement Delta,112,1000003912,4023,
0.0414753,-0.441423,-0.0610943,µm,Spot,Displacement Delta,113,1000003912,4024,
0.0588493,-0.584763,0.0759602,µm,Spot,Displacement Delta,114,1000003912,4025,
0.0564137,0.0214615,-0.0602379,µm,Spot,Displacement Delta,115,1000003912,4026,
0.285128,-0.0177574,-0.310772,µm,Spot,Displacement Delta,116,1000003912,4027,
0.00629425,0.0910645,0.226093,µm,Spot,Displacement Delta,117,1000003912,4028,
0.0578423,1.20291,-0.489714,µm,Spot,Displacement Delta,118,1000003912,4029,
