
Intensity StdDev Ch=1 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,TrackID,ID,
25.5176,,Spot,1,Image 1,1,1000003912,3912,
26.5769,,Spot,1,Image 1,2,1000003912,3913,
26.0855,,Spot,1,Image 1,3,1000003912,3914,
25.0718,,Spot,1,Image 1,4,1000003912,3915,
26.9493,,Spot,1,Image 1,5,1000003912,3916,
27.6794,,Spot,1,Image 1,6,1000003912,3917,
27.1617,,Spot,1,Image 1,7,1000003912,3918,
28.184,,Spot,1,Image 1,8,1000003912,3919,
28.7972,,Spot,1,Image 1,9,1000003912,3920,
28.3991,,Spot,1,Image 1,10,1000003912,3921,
28.1651,,Spot,1,Image 1,11,1000003912,3922,
29.1124,,Spot,1,Image 1,12,1000003912,3923,
28.0759,,Spot,1,Image 1,13,1000003912,3924,
29.2036,,Spot,1,Image 1,14,1000003912,3925,
29.0936,,Spot,1,Image 1,15,1000003912,3926,
28.9223,,Spot,1,Image 1,16,1000003912,3927,
29.3188,,Spot,1,Image 1,17,1000003912,3928,
29.8871,,Spot,1,Image 1,18,1000003912,3929,
29.463,,Spot,1,Image 1,19,1000003912,3930,
28.6755,,Spot,1,Image 1,20,1000003912,3931,
29.3341,,Spot,1,Image 1,21,1000003912,3932,
28.6205,,Spot,1,Image 1,22,1000003912,3933,
30.9104,,Spot,1,Image 1,23,1000003912,3934,
30.8243,,Spot,1,Image 1,24,1000003912,3935,
30.3492,,Spot,1,Image 1,25,1000003912,3936,
32.2397,,Spot,1,Image 1,26,1000003912,3937,
33.1929,,Spot,1,Image 1,27,1000003912,3938,
32.3696,,Spot,1,Image 1,28,1000003912,3939,
33.3957,,Spot,1,Image 1,29,1000003912,3940,
33.0954,,Spot,1,Image 1,30,1000003912,3941,
32.7913,,Spot,1,Image 1,31,1000003912,3942,
34.038,,Spot,1,Image 1,32,1000003912,3943,
34.1407,,Spot,1,Image 1,33,1000003912,3944,
33.9378,,Spot,1,Image 1,34,1000003912,3945,
32.8518,,Spot,1,Image 1,35,1000003912,3946,
32.0771,,Spot,1,Image 1,36,1000003912,3947,
32.5221,,Spot,1,Image 1,37,1000003912,3948,
33.3557,,Spot,1,Image 1,38,1000003912,3949,
34.9954,,Spot,1,Image 1,39,1000003912,3950,
34.3438,,Spot,1,Image 1,40,1000003912,3951,
34.4957,,Spot,1,Image 1,41,1000003912,3952,
33.7813,,Spot,1,Image 1,42,1000003912,3953,
33.4172,,Spot,1,Image 1,43,1000003912,3954,
33.3215,,Spot,1,Image 1,44,1000003912,3955,
34.1174,,Spot,1,Image 1,45,1000003912,3956,
34.3377,,Spot,1,Image 1,46,1000003912,3957,
33.5624,,Spot,1,Image 1,47,1000003912,3958,
33.8315,,Spot,1,Image 1,48,1000003912,3959,
32.7291,,Spot,1,Image 1,49,1000003912,3960,
32.2755,,Spot,1,Image 1,50,1000003912,3961,
32.1983,,Spot,1,Image 1,51,1000003912,3962,
32.6123,,Spot,1,Image 1,52,1000003912,3963,
32.1085,,Spot,1,Image 1,53,1000003912,3964,
32.2718,,Spot,1,Image 1,54,1000003912,3965,
32.1763,,Spot,1,Image 1,55,1000003912,3966,
31.485,,Spot,1,Image 1,56,1000003912,3967,
31.5539,,Spot,1,Image 1,57,1000003912,3968,
31.5168,,Spot,1,Image 1,58,1000003912,3969,
31.6722,,Spot,1,Image 1,59,1000003912,3970,
31.4646,,Spot,1,Image 1,60,1000003912,3971,
31.5998,,Spot,1,Image 1,61,1000003912,3972,
32.2105,,Spot,1,Image 1,62,1000003912,3973,
32.6082,,Spot,1,Image 1,63,1000003912,3974,
31.7896,,Spot,1,Image 1,64,1000003912,3975,
31.3868,,Spot,1,Image 1,65,1000003912,3976,
31.2011,,Spot,1,Image 1,66,1000003912,3977,
30.6447,,Spot,1,Image 1,67,1000003912,3978,
28.1732,,Spot,1,Image 1,68,1000003912,3979,
25.6869,,Spot,1,Image 1,69,1000003912,3980,
25.8061,,Spot,1,Image 1,70,1000003912,3981,
26.8728,,Spot,1,Image 1,71,1000003912,3982,
28.4904,,Spot,1,Image 1,72,1000003912,3983,
28.7756,,Spot,1,Image 1,73,1000003912,3984,
29.1337,,Spot,1,Image 1,74,1000003912,3985,
29.7806,,Spot,1,Image 1,75,1000003912,3986,
29.8979,,Spot,1,Image 1,76,1000003912,3987,
30.3587,,Spot,1,Image 1,77,1000003912,3988,
29.7858,,Spot,1,Image 1,78,1000003912,3989,
29.1379,,Spot,1,Image 1,79,1000003912,3990,
26.4413,,Spot,1,Image 1,80,1000003912,3991,
27.1975,,Spot,1,Image 1,81,1000003912,3992,
25.9242,,Spot,1,Image 1,82,1000003912,3993,
27.44,,Spot,1,Image 1,83,1000003912,3994,
28.9538,,Spot,1,Image 1,84,1000003912,3995,
28.1602,,Spot,1,Image 1,85,1000003912,3996,
28.2994,,Spot,1,Image 1,86,1000003912,3997,
28.7829,,Spot,1,Image 1,87,1000003912,3998,
29.5447,,Spot,1,Image 1,88,1000003912,3999,
29.9134,,Spot,1,Image 1,89,1000003912,4000,
30.2129,,Spot,1,Image 1,90,1000003912,4001,
30.0428,,Spot,1,Image 1,91,1000003912,4002,
30.5672,,Spot,1,Image 1,92,1000003912,4003,
30.7329,,Spot,1,Image 1,93,1000003912,4004,
31.0091,,Spot,1,Image 1,94,1000003912,4005,
31.6166,,Spot,1,Image 1,95,1000003912,4006,
30.7829,,Spot,1,Image 1,96,1000003912,4007,
29.7041,,Spot,1,Image 1,97,1000003912,4008,
30.599,,Spot,1,Image 1,98,1000003912,4009,
32.0808,,Spot,1,Image 1,99,1000003912,4010,
31.5405,,Spot,1,Image 1,100,1000003912,4011,
32.5863,,Spot,1,Image 1,101,1000003912,4012,
32.74,,Spot,1,Image 1,102,1000003912,4013,
30.8384,,Spot,1,Image 1,103,1000003912,4014,
31.2685,,Spot,1,Image 1,104,1000003912,4015,
33.0204,,Spot,1,Image 1,105,1000003912,4016,
33.4445,,Spot,1,Image 1,106,1000003912,4017,
32.4696,,Spot,1,Image 1,107,1000003912,4018,
32.7864,,Spot,1,Image 1,108,1000003912,4019,
32.4533,,Spot,1,Image 1,109,1000003912,4020,
33.1904,,Spot,1,Image 1,110,1000003912,4021,
32.5181,,Spot,1,Image 1,111,1000003912,4022,
31.3601,,Spot,1,Image 1,112,1000003912,4023,
