
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
156,,Spot,1,Image 1,126,1000003912,4037,
144,,Spot,1,Image 1,127,1000003912,4038,
150,,Spot,1,Image 1,128,1000003912,4039,
140,,Spot,1,Image 1,129,1000003912,4040,
146,,Spot,1,Image 1,130,1000003912,4041,
130,,Spot,1,Image 1,131,1000003912,4042,
156,,Spot,1,Image 1,132,1000003912,4043,
160,,Spot,1,Image 1,133,1000003912,4044,
156,,Spot,1,Image 1,134,1000003912,4045,
150,,Spot,1,Image 1,135,1000003912,4046,
166,,Spot,1,Image 1,136,1000003912,4047,
152,,Spot,1,Image 1,137,1000003912,4048,
154,,Spot,1,Image 1,138,1000003912,4049,
154,,Spot,1,Image 1,139,1000003912,4050,
146,,Spot,1,Image 1,140,1000003912,4051,
148,,Spot,1,Image 1,141,1000003912,4052,
162,,Spot,1,Image 1,142,1000003912,4053,
154,,Spot,1,Image 1,143,1000003912,4054,
146,,Spot,1,Image 1,144,1000003912,4055,
158,,Spot,1,Image 1,145,1000003912,4056,
138,,Spot,1,Image 1,146,1000003912,4057,
154,,Spot,1,Image 1,147,1000003912,4058,
144,,Spot,1,Image 1,148,1000003912,4059,
154,,Spot,1,Image 1,149,1000003912,4060,
124,,Spot,1,Image 1,150,1000003912,4061,
152,,Spot,1,Image 1,151,1000003912,4062,
152,,Spot,1,Image 1,152,1000003912,4063,
158,,Spot,1,Image 1,153,1000003912,4064,
158,,Spot,1,Image 1,154,1000003912,4065,
118,,Spot,1,Image 1,155,1000003912,4066,
152,,Spot,1,Image 1,156,1000003912,4067,
158,,Spot,1,Image 1,157,1000003912,4068,
144,,Spot,1,Image 1,158,1000003912,4069,
160,,Spot,1,Image 1,159,1000003912,4070,
156,,Spot,1,Image 1,160,1000003912,4071,
150,,Spot,1,Image 1,161,1000003912,4072,
166,,Spot,1,Image 1,162,1000003912,4073,
158,,Spot,1,Image 1,163,1000003912,4074,
152,,Spot,1,Image 1,164,1000003912,4075,
142,,Spot,1,Image 1,165,1000003912,4076,
152,,Spot,1,Image 1,166,1000003912,4077,
138,,Spot,1,Image 1,167,1000003912,4078,
150,,Spot,1,Image 1,168,1000003912,4079,
152,,Spot,1,Image 1,169,1000003912,4080,
160,,Spot,1,Image 1,170,1000003912,4081,
150,,Spot,1,Image 1,171,1000003912,4082,
146,,Spot,1,Image 1,172,1000003912,4083,
156,,Spot,1,Image 1,173,1000003912,4084,
158,,Spot,1,Image 1,174,1000003912,4085,
146,,Spot,1,Image 1,175,1000003912,4086,
156,,Spot,1,Image 1,176,1000003912,4087,
150,,Spot,1,Image 1,177,1000003912,4088,
154,,Spot,1,Image 1,178,1000003912,4089,
156,,Spot,1,Image 1,179,1000003912,4090,
140,,Spot,1,Image 1,180,1000003912,4091,
144,,Spot,1,Image 1,181,1000003912,4092,
156,,Spot,1,Image 1,182,1000003912,4093,
158,,Spot,1,Image 1,183,1000003912,4094,
164,,Spot,1,Image 1,184,1000003912,4095,
156,,Spot,1,Image 1,185,1000003912,4096,
128,,Spot,1,Image 1,186,1000003912,4097,
154,,Spot,1,Image 1,187,1000003912,4098,
152,,Spot,1,Image 1,188,1000003912,4099,
132,,Spot,1,Image 1,189,1000003912,4100,
134,,Spot,1,Image 1,190,1000003912,4101,
134,,Spot,1,Image 1,191,1000003912,4102,
