
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
19.6413,µm,Spot,Image 1,118,1000000000,118,
20.7601,µm,Spot,Image 1,119,1000000000,119,
21.1382,µm,Spot,Image 1,120,1000000000,120,
22.1404,µm,Spot,Image 1,121,1000000000,121,
21.372,µm,Spot,Image 1,122,1000000000,122,
22.9946,µm,Spot,Image 1,123,1000000000,123,
23.9115,µm,Spot,Image 1,124,1000000000,124,
23.984,µm,Spot,Image 1,125,1000000000,125,
23.4347,µm,Spot,Image 1,126,1000000000,126,
21.855,µm,Spot,Image 1,127,1000000000,127,
22.7795,µm,Spot,Image 1,128,1000000000,128,
21.6703,µm,Spot,Image 1,129,1000000000,129,
22.0364,µm,Spot,Image 1,130,1000000000,130,
23.8367,µm,Spot,Image 1,131,1000000000,131,
24.1225,µm,Spot,Image 1,132,1000000000,132,
21.6695,µm,Spot,Image 1,133,1000000000,133,
21.9422,µm,Spot,Image 1,134,1000000000,134,
22.4934,µm,Spot,Image 1,135,1000000000,135,
22.637,µm,Spot,Image 1,136,1000000000,136,
23.8814,µm,Spot,Image 1,137,1000000000,137,
24.1133,µm,Spot,Image 1,138,1000000000,138,
20.5851,µm,Spot,Image 1,139,1000000000,139,
17.6532,µm,Spot,Image 1,140,1000000000,140,
15.0509,µm,Spot,Image 1,141,1000000000,141,
14.3847,µm,Spot,Image 1,142,1000000000,142,
15.6144,µm,Spot,Image 1,143,1000000000,143,
14.5479,µm,Spot,Image 1,144,1000000000,144,
11.8665,µm,Spot,Image 1,145,1000000000,145,
9.65456,µm,Spot,Image 1,146,1000000000,146,
12.3027,µm,Spot,Image 1,147,1000000000,147,
15.1661,µm,Spot,Image 1,148,1000000000,148,
16.9428,µm,Spot,Image 1,149,1000000000,149,
19.375,µm,Spot,Image 1,150,1000000000,150,
22.7336,µm,Spot,Image 1,151,1000000000,151,
23.4077,µm,Spot,Image 1,152,1000000000,152,
23.3229,µm,Spot,Image 1,153,1000000000,153,
